Iteration,SA_T1000.0,SA_T10000.0,SA_T100000.0,SA_T1000000.0,SA_T1.0E7,SA_T1.0E8,SA_T1.0E9,SA_T1.0E10,SA_T1.0E11
235,61.131,48.086,100.372,38.980,107.305,37.050,61.143,79.630,106.061
236,60.919,47.269,100.371,38.729,106.860,37.357,61.214,78.941,105.602
237,60.937,47.140,101.125,38.702,106.702,37.069,61.347,79.112,105.501
238,60.690,47.419,101.777,39.228,107.092,36.786,61.406,80.030,106.953
239,61.537,46.911,100.598,38.747,106.224,36.578,62.280,80.107,107.666
240,61.483,46.321,101.422,38.715,106.348,37.349,60.986,79.713,107.417
241,61.041,46.391,101.942,39.550,106.369,36.802,60.994,80.953,106.919
242,61.891,45.783,101.959,39.543,106.408,36.845,60.684,80.840,106.847
243,61.882,44.324,101.776,38.867,106.497,36.386,60.636,80.999,104.265
244,61.918,44.380,102.671,38.037,106.191,36.392,61.349,81.043,102.915
245,62.361,46.736,102.522,38.072,106.132,36.092,61.704,70.274,102.628
246,61.765,47.256,102.528,38.184,107.126,35.962,61.846,70.081,102.369
247,62.081,47.407,101.840,38.319,106.631,35.220,62.011,70.009,102.308
248,61.131,50.927,101.835,38.355,106.469,35.410,62.114,70.009,101.286
249,61.109,51.291,101.720,38.388,104.613,35.548,60.763,68.955,101.229
250,61.020,49.475,101.719,38.918,104.642,35.298,59.038,68.824,101.774
251,62.190,48.856,102.776,38.318,104.669,35.595,58.567,69.047,100.481
252,62.472,47.851,103.687,38.392,105.437,39.339,58.618,68.290,100.811
253,62.626,48.008,103.143,38.213,105.427,39.274,58.473,68.245,101.061
254,63.265,48.156,100.022,38.172,106.186,38.815,58.812,70.815,101.060
255,62.826,48.286,100.634,39.755,106.187,38.899,58.506,73.000,100.932
256,62.818,46.936,100.631,38.992,106.060,38.729,58.206,73.619,101.251
257,61.858,47.036,100.493,38.434,106.214,38.674,58.169,73.647,97.585
258,61.852,47.028,102.158,38.502,107.981,37.524,57.802,74.138,97.583
259,63.151,47.205,100.373,38.590,108.848,37.591,57.871,74.138,98.249
260,63.701,47.133,100.067,38.592,108.932,37.599,58.562,74.206,98.302
261,63.166,47.148,99.664,37.419,108.943,37.376,58.780,74.306,99.180
262,62.105,48.602,99.168,37.587,109.025,37.351,57.275,74.930,96.487
263,62.438,48.721,99.176,37.520,109.097,37.196,56.993,75.087,96.350
264,62.374,49.431,100.167,37.516,107.544,36.971,57.343,73.034,93.839
265,62.354,48.329,100.159,37.511,107.706,36.971,57.423,75.328,94.445
266,62.351,47.521,100.216,37.306,108.298,36.345,57.532,75.329,94.408
267,62.359,51.038,100.184,37.244,108.981,36.293,57.315,75.085,94.228
268,62.684,50.916,101.702,37.181,108.722,35.984,57.895,76.325,94.232
269,63.820,50.954,103.498,37.397,108.803,40.014,58.548,77.475,92.172
270,63.697,50.806,104.263,37.068,109.065,38.850,58.730,77.475,92.740
