Algorithm,Iteration,NumberOfPoints,Evaluation,TrainingTime
MIMIC,30,20,0.19456669060732168,5.9567156E7
RHC,30,40,0.09544919329717713,184320.0
SA,30,40,0.044039192888596757,199680.0
GA,30,40,0.15057457511335545,1.8546576E7
MIMIC,30,40,0.09685409864900352,3.59638009E8
RHC,30,60,0.05685792134350816,235126.0
SA,30,60,0.030383809072589776,247335.0
GA,30,60,0.10508518404890453,2.5769308E7
MIMIC,30,60,0.04847899835141698,1.616610747E9
RHC,30,80,0.0397029273355502,315470.0
SA,30,80,0.022311327611685076,322559.0
GA,30,80,0.08225019091454529,4.0463682E7
MIMIC,30,80,0.03873161871618327,3.859683498E9
RHC,60,10,0.3967519965183661,116972.0
SA,60,10,0.18660423136949866,151630.0
GA,60,10,0.3967519965183661,8697289.0
MIMIC,60,10,0.3242478854623096,2.6416002E7
RHC,60,20,0.18811841520414838,179988.0
SA,60,20,0.09556597321024717,215827.0
GA,60,20,0.21485568495387442,1.5233155E7
MIMIC,60,20,0.17015878100208734,1.01733432E8
RHC,60,40,0.11051300692146959,316652.0
SA,60,40,0.04660571524128486,348947.0
GA,60,40,0.16968946000157442,3.0440315E7
MIMIC,60,40,0.08599613925250575,6.92270823E8
RHC,60,60,0.06083702526785114,453316.0
SA,60,60,0.03500293274901394,492307.0
GA,60,60,0.12077611942351812,4.9559937E7
MIMIC,60,60,0.05634400603308683,3.38872192E9
RHC,60,80,0.044061505128620594,605735.0
SA,60,80,0.02404358458296412,618731.0
GA,60,80,0.09631340857313288,6.5803699E7
MIMIC,60,80,0.03890783475853507,8.771092689E9
RHC,100,10,0.35779978310900096,333193.0
SA,100,10,0.35779978310900096,544295.0
GA,100,10,0.35779978310900096,2.5991437E7
MIMIC,100,10,0.33636488005204646,7.2452991E7
RHC,100,20,0.24349535394033608,453316.0
SA,100,20,0.24543805307241118,637636.0
GA,100,20,0.2902535581481005,3.2204349E7
MIMIC,100,20,0.20506924916383074,2.18811083E8
RHC,100,40,0.10355129879187769,589586.0
SA,100,40,0.09000684675148869,706559.0
GA,100,40,0.17275820751616391,5.4492457E7
MIMIC,100,40,0.10502479925461845,1.879571118E9
RHC,100,60,0.07776314031437294,1224072.0
SA,100,60,0.05880673226483394,1378459.0
GA,100,60,0.14629168485615382,1.15855548E8
MIMIC,100,60,0.06102840401882508,4.479456036E9
RHC,100,80,0.053279873513904695,991703.0
SA,100,80,0.043115391510022597,1097253.0
GA,100,80,0.11219462753140157,1.03266279E8
MIMIC,100,80,0.03746676232293924,1.4773913016E10
RHC,200,10,0.2829037726014575,689623.0
SA,200,10,0.3021835852073684,1675418.0
GA,200,10,0.30218358520736843,4.9168455E7
MIMIC,200,10,0.30218358520736843,1.34734137E8
RHC,200,20,0.2109248717275954,844404.0
SA,200,20,0.22405704545349114,1617129.0
GA,200,20,0.233130998643869,6.3654484E7
MIMIC,200,20,0.18695752564033163,5.59107341E8
RHC,200,40,0.12733999128426113,1495037.0
SA,200,40,0.12465262983434834,2246888.0
GA,200,40,0.14467171766597028,1.27165215E8
MIMIC,200,40,0.12026601739908185,2.625562854E9
RHC,200,60,0.08941346248328694,1507641.0
SA,200,60,0.07933242625465822,2010581.0
GA,200,60,0.14920396861671792,1.33094558E8
MIMIC,200,60,0.07020828530367038,1.1347057403E10
RHC,200,80,0.06923683308399867,1958594.0
SA,200,80,0.04836960390307328,2487922.0
GA,200,80,0.1099165769490295,2.42466623E8
MIMIC,200,80,0.04654041048843936,3.4132548689E10
RHC,400,10,0.3052090980737469,1284330.0
SA,400,10,0.31025402951323416,3603292.0
GA,400,10,0.31025402951323416,9.7337723E7
MIMIC,400,10,0.3052090980737469,2.27574932E8
RHC,400,20,0.22549000443151748,1311111.0
SA,400,20,0.21290905993014836,2877435.0
GA,400,20,0.23180070595323624,1.04706966E8
MIMIC,400,20,0.22865568548308743,8.63256857E8
RHC,400,40,0.14696907745047852,3155490.0
SA,400,40,0.12333582265802913,5263351.0
GA,400,40,0.14887697612641448,2.37779468E8
MIMIC,400,40,0.11321826412790761,7.150491893E9
RHC,400,60,0.10103327849145581,6108149.0
SA,400,60,0.08378428819936011,8064380.0
GA,400,60,0.14817251535156317,3.96967469E8
MIMIC,400,60,0.07715133062295648,2.1286295714E10
RHC,400,80,0.0656372131150861,3951845.0
SA,400,80,0.06970938964126142,5206243.0
GA,400,80,0.10659843774957485,6.16255104E8
MIMIC,400,80,0.061490838037632944,6.0014656958E10
RHC,10,10,0.4307278867747095,26781.0
SA,10,10,0.18169106302513932,29145.0
GA,10,10,0.43072788677470963,1760095.0
MIMIC,10,10,0.32493066576249585,5153074.0
RHC,10,20,0.17224690050293495,32690.0
SA,10,20,0.09083556447780669,36628.0
GA,10,20,0.20550054393313177,3009767.0
MIMIC,10,20,0.15284248353447102,2.0002623E7
RHC,10,40,0.06818010473196978,57895.0
SA,10,40,0.045225186994401874,59471.0
GA,10,40,0.10828102151112358,6008507.0
MIMIC,10,40,0.061517421071092274,1.35108289E8
RHC,10,60,0.04223617710666895,84283.0
SA,10,60,0.027960618966655224,86646.0
GA,10,60,0.07014890162578916,9510974.0
MIMIC,10,60,0.045474545553725224,6.89086976E8
RHC,10,80,0.03032070066552831,159508.0
SA,10,80,0.026144294374476174,160689.0
GA,10,80,0.05070363530146614,1.8563905E7
MIMIC,10,80,0.03003357158311157,2.051051824E9
RHC,30,10,0.2778771311076322,120123.0
SA,30,10,0.16190413643577192,147299.0
GA,30,10,0.3306767075065486,8797720.0
MIMIC,30,10,0.2218542031279158,2.5877222E7
RHC,30,20,0.20578007941537946,173686.0
SA,30,20,0.08684189081664102,206375.0
GA,30,20,0.26354277970016965,1.5449376E7
MIMIC,30,20,0.18838926237985174,9.0777045E7
RHC,30,40,0.09114282434592556,270571.0
SA,30,40,0.05293326179738943,291445.0
GA,30,40,0.14703429053801562,2.7484111E7
MIMIC,30,40,0.08443963170385987,6.10623115E8
RHC,30,60,0.06144084731231197,308381.0
SA,30,60,0.035108944368508754,318228.0
GA,30,60,0.11372854327194754,3.2838834E7
MIMIC,30,60,0.055565615280261486,1.924398608E9
RHC,30,80,0.04161869341356264,406448.0
SA,30,80,0.0223730833323339,408812.0
GA,30,80,0.08418149955204748,4.3477781E7
MIMIC,30,80,0.03828666681983622,4.457152174E9
RHC,60,10,0.3575947301449543,118941.0
SA,60,10,0.20135541591349054,152812.0
GA,60,10,0.3579968915833445,9183295.0
MIMIC,60,10,0.34971358133213126,2.7087115E7
RHC,60,20,0.1970243628449152,181957.0
SA,60,20,0.0833765217362497,215039.0
GA,60,20,0.19129482228684958,1.5877485E7
MIMIC,60,20,0.14648105223326346,1.02704261E8
RHC,60,40,0.10358323579044684,317045.0
SA,60,40,0.048818227871843006,346190.0
GA,60,40,0.16749172490694358,3.0275294E7
MIMIC,60,40,0.1013084409066045,9.06572768E8
RHC,60,60,0.06469911118300271,627396.0
SA,60,60,0.033536130803972955,657722.0
GA,60,60,0.14781915044178748,6.4730076E7
MIMIC,60,60,0.06188045568039691,4.113044673E9
RHC,60,80,0.05078031243075879,604946.0
SA,60,80,0.024722940446196152,638029.0
GA,60,80,0.10365451905388488,6.8291227E7
MIMIC,60,80,0.0433248305870655,8.302096794E9
RHC,100,10,0.3078382142786141,192197.0
SA,100,10,0.2849256498383139,316258.0
GA,100,10,0.31053333021977586,1.5608883E7
MIMIC,100,10,0.2955153240692012,4.397127E7
RHC,100,20,0.23921716954256914,299717.0
SA,100,20,0.19739935641046197,420233.0
GA,100,20,0.23230277735711435,2.5592865E7
MIMIC,100,20,0.2293601713636475,1.71918268E8
RHC,100,40,0.12087830764028101,519876.0
SA,100,40,0.09086858838341934,648269.0
GA,100,40,0.17912569185909005,4.7880973E7
MIMIC,100,40,0.10911873955106736,1.1307945E9
RHC,100,60,0.07346934629539704,760909.0
SA,100,60,0.06870789143875478,846768.0
GA,100,60,0.15083940555218442,7.2191084E7
MIMIC,100,60,0.058437339441533606,5.463419437E9
RHC,100,80,0.05555527834400603,1002731.0
SA,100,80,0.039636060073581794,1095678.0
