Algorithm,Iteration,N,Evaluation,TrainingTime
SA,40,120,1.0,146117.0
GA,40,120,13.0,5273982.0
MIMIC,40,120,10.0,4.16437055E8
RHC,40,140,6.0,146904.0
SA,40,140,1.0,162265.0
GA,40,140,9.0,5758806.0
MIMIC,40,140,21.0,5.37082898E8
RHC,40,160,9.0,166596.0
SA,40,160,7.0,189046.0
GA,40,160,13.0,6480331.0
MIMIC,40,160,13.0,7.03228508E8
RHC,40,180,10.0,169353.0
SA,40,180,1.0,191015.0
GA,40,180,11.0,6818644.0
MIMIC,40,180,22.0,1.131185931E9
RHC,40,200,4.0,179987.0
SA,40,200,1.0,226855.0
GA,40,200,12.0,7555922.0
MIMIC,40,200,25.0,1.047789977E9
RHC,50,20,35.0,54744.0
SA,50,20,4.0,85859.0
GA,50,20,30.0,2860499.0
MIMIC,50,20,30.0,3.2343363E7
RHC,50,40,19.0,70893.0
SA,50,40,1.0,99642.0
GA,50,40,53.0,3439845.0
MIMIC,50,40,14.0,7.7584768E7
RHC,50,60,17.0,93341.0
SA,50,60,4.0,122879.0
GA,50,60,13.0,4012890.0
MIMIC,50,60,75.0,1.43764169E8
RHC,50,80,6.0,108701.0
SA,50,80,2.0,139815.0
GA,50,80,11.0,4814759.0
MIMIC,50,80,16.0,2.47654258E8
RHC,50,100,8.0,131544.0
SA,50,100,0.0,159901.0
GA,50,100,13.0,5549281.0
MIMIC,50,100,12.0,3.73876556E8
RHC,50,120,11.0,170535.0
SA,50,120,1.0,188258.0
GA,50,120,11.0,6495297.0
MIMIC,50,120,23.0,4.85593139E8
RHC,50,140,5.0,170141.0
SA,50,140,2.0,212283.0
GA,50,140,13.0,7113240.0
MIMIC,50,140,27.0,6.48413512E8
RHC,50,160,3.0,192197.0
SA,50,160,2.0,224491.0
GA,50,160,11.0,7860758.0
MIMIC,50,160,13.0,8.75102991E8
RHC,50,180,2.0,215827.0
SA,50,180,1.0,244184.0
GA,50,180,11.0,8370788.0
MIMIC,50,180,15.0,1.340164187E9
RHC,50,200,9.0,231974.0
SA,50,200,0.0,279237.0
GA,50,200,12.0,9255364.0
MIMIC,50,200,20.0,1.813593019E9
RHC,60,20,20.0,129969.0
SA,60,20,15.0,383211.0
GA,60,20,35.0,7706765.0
MIMIC,60,20,32.0,6.7315645E7
RHC,60,40,9.0,135483.0
SA,60,40,15.0,488368.0
GA,60,40,50.0,7297953.0
MIMIC,60,40,17.0,1.7935715E8
RHC,60,60,15.0,199680.0
SA,60,60,7.0,313107.0
GA,60,60,18.0,1.0214378E7
MIMIC,60,60,16.0,3.32024585E8
RHC,60,80,5.0,161870.0
SA,60,80,0.0,221341.0
GA,60,80,18.0,7824918.0
MIMIC,60,80,21.0,4.9510726E8
RHC,60,100,9.0,222129.0
SA,60,100,4.0,284356.0
GA,60,100,20.0,1.3535281E7
MIMIC,60,100,26.0,7.69355921E8
RHC,60,120,4.0,3491045.0
SA,60,120,0.0,447802.0
GA,60,120,13.0,1.4947216E7
MIMIC,60,120,18.0,8.3591499E8
RHC,60,140,5.0,200467.0
SA,60,140,8.0,241427.0
GA,60,140,15.0,8467674.0
MIMIC,60,140,21.0,1.06789381E9
RHC,60,160,8.0,232369.0
SA,60,160,1.0,321772.0
GA,60,160,9.0,9587770.0
MIMIC,60,160,11.0,1.005659951E9
RHC,60,180,12.0,249304.0
SA,60,180,3.0,287114.0
GA,60,180,24.0,9922144.0
MIMIC,60,180,20.0,1.221435582E9
RHC,60,200,8.0,280024.0
SA,60,200,6.0,279630.0
GA,60,200,11.0,9659844.0
MIMIC,60,200,18.0,1.579183386E9
RHC,10,20,4.0,13390.0
SA,10,20,9.0,22450.0
GA,10,20,31.0,656934.0
MIMIC,10,20,34.0,7110089.0
RHC,10,40,4.0,15360.0
SA,10,40,1.0,22449.0
GA,10,40,51.0,801869.0
MIMIC,10,40,52.0,3.8056484E7
RHC,10,60,3.0,48049.0
SA,10,60,0.0,53957.0
GA,10,60,18.0,2107861.0
MIMIC,10,60,15.0,8.7917693E7
RHC,10,80,7.0,53170.0
SA,10,80,2.0,64985.0
GA,10,80,10.0,2566296.0
MIMIC,10,80,16.0,1.38409842E8
RHC,10,100,5.0,52775.0
SA,10,100,0.0,66560.0
GA,10,100,11.0,2660425.0
MIMIC,10,100,15.0,1.67386616E8
RHC,10,120,3.0,55532.0
SA,10,120,1.0,55926.0
GA,10,120,11.0,2442235.0
MIMIC,10,120,19.0,2.09033394E8
RHC,10,140,2.0,72467.0
SA,10,140,1.0,90191.0
GA,10,140,12.0,3653703.0
MIMIC,10,140,13.0,3.61456251E8
RHC,10,160,2.0,65378.0
SA,10,160,3.0,72074.0
GA,10,160,9.0,2814813.0
MIMIC,10,160,13.0,3.11209074E8
RHC,10,180,0.0,53957.0
SA,10,180,1.0,58683.0
GA,10,180,13.0,2352438.0
MIMIC,10,180,30.0,3.08079579E8
RHC,10,200,2.0,66560.0
SA,10,200,0.0,62227.0
GA,10,200,10.0,2443810.0
MIMIC,10,200,22.0,5.4466954E8
RHC,20,20,34.0,38597.0
SA,20,20,1.0,59864.0
GA,20,20,34.0,1972378.0
MIMIC,20,20,15.0,2.0709961E7
RHC,20,40,2.0,41354.0
SA,20,40,0.0,66954.0
GA,20,40,55.0,2358345.0
MIMIC,20,40,55.0,5.2427505E7
RHC,20,60,4.0,55138.0
SA,20,60,0.0,71680.0
GA,20,60,14.0,2469016.0
MIMIC,20,60,73.0,1.09893472E8
RHC,20,80,8.0,88222.0
SA,20,80,0.0,123274.0
GA,20,80,15.0,4316151.0
MIMIC,20,80,17.0,2.39564675E8
RHC,20,100,10.0,91766.0
SA,20,100,0.0,117760.0
GA,20,100,19.0,4273615.0
MIMIC,20,100,11.0,2.66469035E8
RHC,20,120,4.0,79163.0
SA,20,120,0.0,102006.0
GA,20,120,9.0,3601715.0
MIMIC,20,120,25.0,2.62337204E8
RHC,20,140,10.0,78769.0
SA,20,140,0.0,91372.0
GA,20,140,10.0,3160214.0
MIMIC,20,140,32.0,3.0166502E8
RHC,20,160,0.0,91372.0
SA,20,160,3.0,98067.0
GA,20,160,9.0,3528066.0
MIMIC,20,160,27.0,6.11184104E8
RHC,20,180,0.0,114609.0
SA,20,180,0.0,117366.0
GA,20,180,12.0,4650525.0
MIMIC,20,180,13.0,6.44898443E8
RHC,20,200,4.0,160295.0
SA,20,200,1.0,191803.0
GA,20,200,11.0,6978939.0
MIMIC,20,200,19.0,7.34997251E8
RHC,30,20,20.0,200073.0
SA,30,20,1.0,54744.0
GA,30,20,35.0,1910149.0
MIMIC,30,20,35.0,3.7742195E7
RHC,30,40,9.0,311926.0
SA,30,40,4.0,132332.0
GA,30,40,52.0,4541036.0
MIMIC,30,40,56.0,1.05686417E8
RHC,30,60,1.0,185107.0
SA,30,60,4.0,159114.0
GA,30,60,13.0,5311791.0
MIMIC,30,60,19.0,1.81671778E8
RHC,30,80,4.0,187864.0
SA,30,80,4.0,151237.0
