Iteration,RHC,SA,GA
414,8.646,10.455,2.632
415,8.721,10.480,2.917
416,8.580,10.458,2.691
417,8.583,10.459,2.654
418,9.574,10.577,2.513
419,8.572,10.476,2.582
420,8.563,10.455,2.738
421,9.574,10.451,2.902
422,8.653,10.390,2.672
423,7.540,10.390,3.053
424,7.425,10.482,2.809
425,7.428,10.389,2.818
426,7.438,10.389,2.587
427,7.425,10.360,2.871
428,7.427,9.567,2.672
429,7.427,9.702,2.983
430,7.462,9.571,2.583
431,7.447,9.515,2.882
432,7.398,9.391,2.668
433,7.432,9.627,2.767
434,7.398,9.459,2.602
435,7.374,9.391,2.954
436,7.376,9.392,2.687
437,8.337,9.388,2.577
438,7.373,9.388,2.632
439,7.368,9.507,2.657
440,7.358,9.339,2.621
441,7.358,9.355,2.630
442,7.430,10.105,2.855
443,7.358,9.413,2.708
444,7.605,9.339,2.722
445,7.363,9.307,2.621
446,7.358,9.307,2.700
447,7.335,9.272,2.551
448,7.412,9.277,2.722
449,7.546,9.483,2.458
450,7.325,9.516,2.675
451,7.418,9.268,3.031
452,7.313,9.226,2.628
453,7.314,9.302,2.621
454,7.309,9.233,2.783
455,7.297,9.274,2.666
456,7.278,8.711,2.564
457,7.849,8.708,2.664
458,7.427,8.734,2.657
459,7.688,8.724,2.561
460,7.420,8.736,2.594
461,7.546,8.708,2.463
462,7.279,8.669,2.504
463,7.266,8.669,2.454
464,7.218,8.803,2.667
465,7.275,8.661,3.062
466,7.701,8.659,2.385
467,7.216,8.633,2.989
468,7.148,8.589,2.610
469,7.147,8.692,2.709
470,7.147,8.638,2.475
471,7.368,8.631,2.584
472,7.267,8.587,2.671
473,7.125,8.315,3.128
474,7.114,8.413,2.618
475,6.984,8.328,2.683
476,6.931,8.365,2.594
477,6.931,8.304,2.601
478,6.931,8.317,2.687
479,6.843,8.287,2.518
480,6.903,8.273,2.555
481,6.844,8.308,2.509
482,6.844,8.143,2.544
483,6.851,8.201,2.603
484,6.837,8.069,2.628
485,6.832,8.069,2.705
486,6.896,8.030,2.816
487,6.830,8.068,2.727
488,6.939,7.995,2.720
489,6.856,7.998,2.643
490,6.843,8.022,2.802
491,6.998,8.019,2.610
492,6.850,7.993,2.678
493,6.832,8.011,2.573
494,6.897,8.278,2.692
495,6.693,8.103,2.644
496,6.690,8.014,2.792
497,6.669,7.993,2.558
498,6.699,8.006,2.527
499,6.688,8.036,2.445
500,6.693,7.996,2.449
501,6.678,7.996,2.516
502,6.666,8.015,2.489
503,6.997,7.993,2.561
504,6.720,7.993,2.926
505,6.660,7.967,2.548
506,6.675,8.054,2.550
507,6.648,8.006,2.731
508,6.643,7.954,2.628
509,6.676,7.954,2.552
510,6.729,7.951,2.581
511,6.643,7.949,2.803
512,6.632,8.029,2.471
513,6.627,7.987,2.507
514,6.625,7.960,2.479
515,6.611,8.025,2.484
516,6.571,8.711,2.529
517,6.542,8.027,2.465
518,6.763,7.968,2.675
519,6.542,7.950,2.665
520,6.513,7.609,2.587
521,6.540,7.592,2.726
522,6.535,7.476,2.574
523,6.625,7.471,2.567
524,6.512,7.353,2.605
525,6.543,7.358,2.687
526,6.512,7.341,2.622
527,6.595,7.317,2.557
528,6.886,7.171,2.405
529,6.515,7.166,2.765
530,6.547,7.118,2.566
531,6.551,7.118,2.426
532,6.512,7.110,2.533
533,6.515,7.115,2.602
534,6.512,7.007,2.593
535,6.570,7.007,2.486
536,6.489,6.993,2.566
537,6.439,6.973,2.599
538,6.518,7.027,2.594
539,6.437,6.949,2.394
540,6.437,7.025,2.504
541,6.437,6.942,2.607
542,6.331,6.980,2.601
543,6.274,6.956,2.710
544,6.273,6.996,2.571
545,6.273,7.024,2.561
546,6.278,6.888,2.553
547,6.289,7.296,2.515
548,6.291,6.880,2.612
549,6.272,6.889,2.641
550,6.319,6.875,2.648
551,6.297,6.875,2.591
552,6.272,6.867,2.524
553,6.258,6.920,2.576
554,6.241,6.923,2.423
555,6.241,6.869,2.541
556,6.244,6.807,2.473
557,6.164,6.594,2.610
558,6.044,6.580,2.439
559,6.044,6.586,2.455
560,6.060,6.574,2.533
561,5.979,6.574,2.511
562,5.984,6.575,2.435
563,5.988,6.704,2.514
564,5.982,6.574,2.802
565,5.961,6.574,2.563
566,5.969,6.577,2.772
567,5.967,6.504,2.416
568,6.147,6.471,2.860
569,5.958,6.473,2.401
570,5.958,6.460,2.530
571,6.014,6.500,2.486
572,5.908,6.391,2.380
573,5.864,6.404,2.633
574,5.770,6.403,2.455
575,5.770,6.390,2.536
576,5.766,6.425,2.390
577,5.767,6.396,2.443
578,5.766,6.389,2.628
579,5.766,6.405,2.397
580,5.779,6.376,2.484
581,5.790,6.299,2.497
582,5.766,6.299,2.464
583,5.778,6.271,2.544
584,5.780,6.256,2.675
585,5.660,6.278,2.567
586,5.671,6.213,2.449
587,5.747,6.213,2.333
588,5.660,6.270,2.621
589,5.675,6.272,2.421
590,5.673,6.213,2.551
591,5.662,6.266,2.516
592,5.657,6.189,2.417
593,5.659,6.216,2.528
594,5.657,6.181,2.618
595,5.656,6.173,2.473
596,5.710,6.147,2.397
597,5.674,6.160,2.712
598,5.657,5.713,2.822
599,5.657,5.746,2.604
600,5.715,5.701,2.621
601,5.582,5.677,2.525
602,5.584,5.778,2.558
603,5.582,5.714,2.571
604,5.589,5.681,2.625
605,5.551,5.761,2.790
606,5.588,5.636,2.677
607,5.573,5.639,2.506
608,5.648,5.679,2.459
609,5.462,5.648,2.353
610,5.469,5.636,2.587
611,5.460,5.637,2.565
612,5.460,5.590,2.454
613,5.462,5.594,2.826
614,5.437,5.607,2.626
615,5.649,5.592,2.764
616,5.426,5.592,2.488
617,5.426,5.694,2.686
618,5.444,5.612,2.639
619,5.426,5.590,2.497
620,5.426,5.589,2.441
621,5.419,5.593,2.430
622,5.488,5.651,2.451
623,5.419,5.579,2.508
624,5.420,5.587,2.457
625,5.418,5.588,2.569
626,5.343,5.608,2.443
627,5.336,5.581,2.536
628,5.286,5.570,2.522
629,5.286,5.591,2.412
630,5.286,5.565,2.354
631,5.329,5.565,2.717
632,5.285,5.567,2.371
633,5.339,6.046,2.596
634,5.295,5.579,2.518
635,5.323,5.564,2.717
636,5.337,5.562,2.388
637,5.285,5.692,2.781
638,5.263,5.567,2.369
639,5.344,5.498,2.504
640,5.263,5.507,2.545
641,5.262,5.496,2.405
642,5.309,5.510,2.551
643,5.253,5.453,2.394
644,5.253,5.452,2.395
645,5.253,5.503,2.319
646,5.270,5.403,2.318
647,5.264,5.401,2.557
648,5.238,5.393,2.714
649,5.163,5.393,2.371
650,5.212,5.421,2.516
651,5.163,5.369,2.521
652,5.156,5.356,2.447
653,5.177,5.356,2.364
654,5.125,5.404,2.568
655,5.151,5.349,2.333
656,5.205,5.382,2.941
657,5.094,5.347,2.631
658,5.098,5.349,2.449
659,5.126,5.304,2.396
660,5.092,5.240,2.693
661,5.090,5.221,2.321
662,5.090,5.199,2.622
663,5.021,5.202,2.312
664,5.021,5.192,2.505
665,4.984,5.280,2.579
666,5.047,5.192,2.657
667,4.985,5.473,2.382
668,5.012,5.168,2.558
669,4.984,5.167,2.264
670,4.984,5.474,2.380
671,4.984,5.164,2.436
672,4.978,5.129,2.479
673,4.979,5.127,2.423
674,5.091,5.094,2.538
675,5.239,5.094,2.216
676,5.038,4.998,2.239
677,4.984,5.004,2.674
678,4.980,4.993,2.416
679,4.996,5.002,2.362
680,4.974,4.993,2.659
681,5.069,4.963,2.300
682,4.976,4.976,2.415
683,4.968,4.705,2.660
684,4.975,4.724,2.338
685,4.953,4.715,3.063
686,4.912,4.717,2.407
687,4.966,4.682,2.597
688,4.930,4.688,2.264
689,4.919,4.685,2.765
690,4.930,4.683,2.280
691,4.911,4.670,2.312
692,4.988,4.666,2.504
693,4.924,4.622,2.570
694,4.909,4.609,2.470
695,4.946,4.613,2.521
696,4.913,4.609,2.592
697,4.930,4.739,2.356
698,4.881,4.610,2.382
699,4.874,4.607,2.420
700,5.316,4.607,2.514
701,4.572,4.597,2.342
702,4.567,4.645,2.446
703,4.615,4.594,2.418
704,4.600,4.584,2.342
705,4.596,4.584,2.479
706,4.559,4.611,2.627
707,4.567,4.584,2.176
708,4.590,4.587,2.299
709,4.600,4.598,2.280
710,4.722,4.586,2.494
711,4.744,4.597,2.438
712,4.560,4.497,2.340
713,4.563,4.495,2.348
714,4.559,4.482,2.417
715,4.558,4.483,2.696
716,4.920,4.500,2.755
717,4.569,4.522,2.278
718,4.579,4.485,2.500
719,4.563,4.482,2.439
720,4.558,4.483,2.518
721,4.534,4.526,2.666
722,4.534,4.506,2.461
723,4.555,4.530,2.357
724,4.532,4.461,2.512
725,4.531,4.451,2.385
726,4.532,4.477,2.646
727,4.533,4.467,2.618
728,4.531,4.490,2.205
729,4.519,4.433,2.595
730,4.520,4.435,2.494
731,4.516,4.433,2.510
732,4.400,4.490,2.191
733,4.384,4.433,2.251
734,4.259,4.441,2.317
735,4.258,4.433,2.405
736,4.268,4.462,2.466
737,4.258,4.430,2.297
738,4.247,4.380,2.338
739,4.258,4.390,2.265
740,4.252,4.377,2.541
741,4.246,4.514,2.567
742,4.242,4.519,2.267
743,4.250,4.359,2.257
744,4.272,4.350,2.306
745,4.239,4.353,2.260
746,4.349,4.313,2.337
747,4.244,4.313,2.250
748,4.276,4.296,2.297
749,4.244,4.544,2.672
750,4.226,4.295,2.293
751,4.230,4.299,2.488
752,4.227,4.297,2.717
753,4.196,4.297,2.349
754,4.196,4.370,2.404
755,4.197,4.207,2.297
756,4.150,4.207,2.238
757,4.148,4.209,2.373
758,4.148,4.218,2.399
759,4.149,4.225,2.170
760,4.148,4.412,2.300
761,4.164,4.207,2.593
762,4.136,4.209,2.101
763,4.138,4.191,2.528
764,4.082,4.226,2.427
765,4.082,4.199,2.435
766,4.108,4.178,2.430
767,4.096,4.182,2.440
768,4.155,4.176,2.412
769,4.082,4.186,2.419
770,4.082,4.176,2.284
771,4.088,4.176,2.315
772,4.043,4.176,2.522
773,4.043,4.176,2.462
774,4.054,4.173,2.267
775,4.057,4.172,2.430
776,4.027,4.172,2.385
777,4.032,4.172,2.412
778,4.065,4.306,2.606
779,4.078,4.098,2.343
780,4.027,4.055,2.539
781,4.019,4.069,2.270
782,4.026,4.153,2.455
783,4.019,4.061,2.590
784,3.996,4.069,2.262
785,4.004,4.069,2.522
786,4.031,4.058,2.616
787,4.018,4.054,2.515
788,4.003,4.054,2.493
789,3.984,4.068,2.325
790,3.985,4.245,2.534
791,3.984,4.042,2.352
792,3.983,4.043,2.650
793,3.975,4.044,2.777
794,3.988,4.022,2.673
795,3.975,4.044,2.265
796,3.975,4.027,2.350
797,3.975,4.051,2.535
798,3.999,4.020,2.432
799,3.987,4.011,2.353
800,3.980,4.014,2.354
801,3.975,3.984,2.281
802,4.024,3.988,2.583
803,3.975,3.978,2.239
804,3.966,3.978,2.456
805,3.972,3.979,2.257
806,4.022,3.978,2.481
807,3.964,3.982,2.516
808,3.974,3.994,2.608
809,3.968,3.974,2.367
810,3.965,3.991,2.229
811,3.992,4.096,2.312
812,3.990,3.971,2.386
813,4.014,3.981,2.183
814,3.964,3.966,2.344
815,3.993,3.955,2.331
816,3.965,3.989,2.380
817,3.969,3.955,2.896
818,3.966,3.961,2.364
819,3.965,3.949,2.200
820,3.964,3.917,2.235
821,3.989,3.907,2.301
822,3.962,3.987,2.127
823,3.976,3.913,2.592
824,3.961,3.908,2.181
825,3.958,3.907,2.211
826,3.976,3.863,2.225
827,4.073,3.863,2.134
828,3.965,3.873,2.533
829,3.957,3.861,2.389
830,3.957,3.884,2.192
831,3.984,3.946,2.263
832,3.991,3.849,2.411
833,3.958,3.847,2.505
834,3.960,4.082,2.268
835,3.968,3.835,2.144
836,3.962,3.835,2.769
837,3.961,3.839,2.147
838,3.960,3.835,2.190
839,3.960,3.835,2.137
840,3.958,3.719,2.438
841,3.980,3.890,2.567
842,3.957,3.717,2.180
843,3.893,3.716,2.455
844,3.891,3.717,2.474
845,3.907,3.710,2.356
846,3.891,3.691,2.297
847,3.910,3.745,2.233
848,3.885,3.686,2.356
849,3.873,3.686,2.357
850,3.848,3.822,2.212
851,3.858,3.660,2.311
