gridWorld,strategy,maxIteration,gamma,lastMaxDelta,rewards,numOfActions,runningTime
large,Q,200,0.8,0.02826170477917289,-181,181,2.59150704E8
large,Q,200,0.8,0.07198672882870727,-986,986,3.47332307E8
large,Q,200,0.8,0.16574476370247537,-39,39,3.24666501E8
large,Q,200,0.8,0.10550921054947615,-394,394,3.32418956E8
large,Q,200,0.8,0.07286703083301971,-269,269,2.52716056E8
large,Q,200,0.8,0.10575129091620994,-165,165,3.3667288E8
large,Q,200,0.8,0.02718533664878575,-16,16,2.8247817E8
large,Q,200,0.8,0.10761224033405226,-38,38,2.2741897E8
large,Q,200,0.8,0.14106255355839248,-37,37,3.35276304E8
large,Q,200,0.8,0.05395481195999752,-45,45,3.19705624E8
large,Q,200,0.8,0.08445925458717607,-47,47,3.05590597E8
large,Q,200,0.8,0.043572805495089906,-42,42,3.09527083E8
large,Q,200,0.8,0.043770045281895875,-47,47,3.06201057E8
large,Q,200,0.8,0.12953678359492038,-2668,2668,3.29161854E8
large,Q,200,0.8,0.06841718432577837,-81,81,2.65872071E8
large,Q,200,0.8,0.1500122354453859,-55,55,3.22123442E8
large,Q,200,0.8,0.08804277603540633,-306,306,3.51069507E8
large,Q,200,0.8,0.03609303891319904,-27,27,3.07446396E8
large,Q,200,0.8,0.04608243206808327,-222,222,2.66569177E8
large,Q,200,0.8,0.03132053249985711,-48,48,3.4381448E8
large,Q,200,0.8,0.06383237091327398,-53,53,3.13771555E8
large,Q,200,0.8,0.04766761566380184,-24,24,2.9507768E8
large,Q,200,0.9,0.08692275649414416,-58,58,3.24737394E8
large,Q,200,0.9,0.09650268637187764,-26,26,2.77320764E8
large,Q,200,0.9,0.08443836882467881,-30,30,2.25367428E8
large,Q,200,0.9,0.1509508057498785,-25,25,2.76760322E8
large,Q,200,0.9,0.15677122539030952,-190,190,2.19281335E8
large,Q,200,0.9,0.18168415200517196,-1793,1793,2.46923772E8
large,Q,200,0.9,0.18373551675187505,-58,58,2.58083383E8
large,Q,200,0.9,0.08209825090049527,-387,387,2.09146509E8
