gridWorld,iteration,epsilon,lastMaxDelta,rewards,numOfActions,runningTime
large,551,0.1,0.21790014388529144,-24,24,3.7947246E8
large,556,0.1,0.1698933627120347,-19,19,3.80062047E8
large,561,0.1,0.2536329908309636,-20,20,3.80629972E8
large,566,0.1,0.19276241263236926,-22,22,3.81319595E8
large,571,0.1,0.2064961750834673,-22,22,3.81862314E8
large,576,0.1,0.18066553154367426,-21,21,3.8317894E8
large,581,0.1,0.20146399826742822,-19,19,3.83779948E8
large,586,0.1,0.1909553284918033,-814,814,3.87415535E8
large,591,0.1,0.09093771441630238,-22,22,3.88006304E8
large,596,0.1,0.2364335510446729,-45,45,3.88732161E8
large,1,0.1,0.1099,-81,81,1043690.0
large,6,0.1,0.14827551237487882,-2843,2843,4.2531764E7
large,11,0.1,0.17002228642984402,-5858,5858,7.0653905E7
large,16,0.1,0.14536348810838895,-4861,4861,9.1182706E7
large,21,0.1,0.14296745630597507,-82,82,1.08095611E8
large,26,0.1,0.1654224650861621,-117,117,1.15038713E8
large,31,0.1,0.15349137069958152,-283,283,1.21097631E8
large,36,0.1,0.15229643199235987,-178,178,1.26986802E8
large,41,0.1,0.1894653928162744,-185,185,1.30819312E8
large,46,0.1,0.1474342764569152,-78,78,1.43194724E8
large,51,0.1,0.1623784106588877,-107,107,1.45423496E8
large,56,0.1,0.16349442934687142,-229,229,1.5212517E8
large,61,0.1,0.1662538275231933,-49,49,1.53487088E8
large,66,0.1,0.1775059321326562,-3729,3729,1.63840497E8
large,71,0.1,0.17329823239493436,-160,160,1.65134673E8
large,76,0.1,0.18092419299128393,-99,99,1.67815579E8
large,81,0.1,0.1730611819671255,-166,166,1.74121045E8
large,86,0.1,0.1881839819123483,-86,86,1.78384816E8
large,91,0.1,0.18151714343278424,-108,108,1.79678598E8
large,96,0.1,0.16986783679840123,-87,87,1.8055963E8
large,101,0.1,0.16567266117173585,-161,161,1.81621044E8
large,106,0.1,0.19334968899912575,-84,84,1.90353385E8
large,111,0.1,0.21891437885918252,-162,162,1.9628391E8
large,116,0.1,0.16710010085119453,-32,32,2.15049858E8
large,121,0.1,0.20214102070583895,-48,48,2.16368453E8
large,126,0.1,0.22636696714337456,-35,35,2.26234282E8
large,131,0.1,0.1811093670046784,-71,71,2.2767103E8
large,136,0.1,0.14381469869394437,-188,188,2.29488233E8
large,141,0.1,0.1314659924987147,-30,30,2.38742026E8
large,146,0.1,0.2258697094576272,-35,35,2.39630935E8
large,151,0.1,0.20132543165961536,-90,90,2.40892422E8
large,156,0.1,0.20159230418614182,-67,67,2.49125367E8
large,161,0.1,0.14552783745312858,-31,31,2.49904394E8
large,166,0.1,0.2179198054378384,-72,72,2.50391974E8
large,171,0.1,0.16174882766408327,-32,32,2.5092209E8
large,176,0.1,0.19107193437299586,-49,49,2.51789732E8
large,181,0.1,0.21158638297376986,-995,995,2.55007449E8
large,186,0.1,0.226828292590755,-42,42,2.56196469E8
large,191,0.1,0.12376807395940403,-34,34,2.57624158E8
large,196,0.1,0.22299257025206698,-35,35,2.5832284E8
large,201,0.1,0.21574282493787234,-236,236,2.59150703E8
large,206,0.1,0.1616724133730436,-34,34,2.60368867E8
large,211,0.1,0.2557892342117567,-33,33,2.61370023E8
large,216,0.1,0.2270743061889844,-32,32,2.61746145E8
large,221,0.1,0.19925599712665232,-219,219,2.63980824E8
large,226,0.1,0.19025674479838806,-48,48,2.64395149E8
large,231,0.1,0.19599268443852713,-35,35,2.64764183E8
large,236,0.1,0.191186523360793,-184,184,2.65460108E8
large,241,0.1,0.20044469040254675,-26,26,2.66002433E8
large,246,0.1,0.15898225483278594,-26,26,2.66281275E8
large,251,0.1,0.2643526711355748,-35,35,2.66960659E8
large,256,0.1,0.21126830039573674,-28,28,2.67328904E8
large,261,0.1,0.14596727677761123,-92,92,2.69856998E8
large,266,0.1,0.15424510766690958,-19,19,2.74094775E8
large,271,0.1,0.19645002318788407,-29,29,2.74520128E8
