Algorithm,Iteration,N,Evaluation,TrainingTime
GA,40,40,26.0,842829.0
MIMIC,40,40,37.0,3.1500141E7
RHC,40,50,50.0,703408.0
SA,40,50,50.0,1688414.0
GA,40,50,32.0,1018484.0
MIMIC,40,50,46.0,4.5977106E7
RHC,40,60,60.0,788479.0
SA,40,60,60.0,1775848.0
GA,40,60,43.0,1185081.0
MIMIC,40,60,52.0,6.4307849E7
RHC,50,10,10.0,419445.0
SA,50,10,10.0,1676993.0
GA,50,10,9.0,396996.0
MIMIC,50,10,10.0,4543793.0
RHC,50,20,20.0,506485.0
SA,50,20,20.0,1738039.0
GA,50,20,15.0,604553.0
MIMIC,50,20,20.0,1.2070571E7
RHC,50,30,30.0,630153.0
SA,50,30,30.0,1884944.0
GA,50,30,24.0,831801.0
MIMIC,50,30,27.0,2.3699247E7
RHC,50,40,40.0,727432.0
SA,50,40,40.0,1951110.0
GA,50,40,29.0,1030299.0
MIMIC,50,40,36.0,3.8047819E7
RHC,50,50,50.0,869216.0
SA,50,50,50.0,7147505.0
GA,50,50,34.0,2653730.0
MIMIC,50,50,46.0,1.19428467E8
RHC,50,60,60.0,2053510.0
SA,50,60,60.0,4748199.0
GA,50,60,34.0,3119648.0
MIMIC,50,60,56.0,1.55019086E8
RHC,60,10,10.0,863703.0
SA,60,10,10.0,3497346.0
GA,60,10,9.0,804232.0
MIMIC,60,10,10.0,9337678.0
RHC,60,20,20.0,1061019.0
SA,60,20,20.0,3669063.0
GA,60,20,15.0,1205166.0
MIMIC,60,20,19.0,2.5574739E7
RHC,60,30,30.0,1291813.0
SA,60,30,30.0,3902613.0
GA,60,30,24.0,1672661.0
MIMIC,60,30,27.0,4.404884E7
RHC,60,40,40.0,1326471.0
SA,60,40,40.0,3615894.0
GA,60,40,29.0,1850285.0
MIMIC,60,40,38.0,6.721994E7
RHC,60,50,50.0,1424539.0
SA,60,50,50.0,3463476.0
GA,60,50,34.0,1975134.0
MIMIC,60,50,47.0,9.4899782E7
RHC,60,60,60.0,1626975.0
SA,60,60,60.0,3368165.0
GA,60,60,45.0,2141731.0
MIMIC,60,60,56.0,1.12833527E8
