Algorithm,Iteration,N,Evaluation,TrainingTime
RHC,400,300,17.0,3724202.0
SA,400,300,15.0,4174368.0
GA,400,300,13.0,1.53973487E8
MIMIC,400,300,46.0,2.438004393E10
RHC,1000,10,10.0,1228798.0
SA,1000,10,17.0,4856902.0
GA,1000,10,17.0,7.068305E7
MIMIC,1000,10,17.0,2.90594931E8
RHC,1000,30,30.0,1172084.0
SA,1000,30,30.0,3624166.0
GA,1000,30,53.0,6.2960135E7
MIMIC,1000,30,53.0,9.77219979E8
RHC,1000,60,60.0,1813264.0
SA,1000,60,60.0,4004226.0
GA,1000,60,84.0,7.8946321E7
MIMIC,1000,60,48.0,3.229138892E9
RHC,1000,100,100.0,4197605.0
SA,1000,100,100.0,6822978.0
GA,1000,100,19.0,1.84544559E8
MIMIC,1000,100,62.0,8.100840978E9
RHC,1000,200,44.0,4545371.0
SA,1000,200,56.0,9340833.0
GA,1000,200,11.0,1.72817023E8
MIMIC,1000,200,73.0,2.691496916E10
RHC,1000,300,24.0,7088037.0
SA,1000,300,29.0,7977340.0
GA,1000,300,26.0,4.18645117E8
MIMIC,1000,300,67.0,5.4566391513E10
RHC,10,10,10.0,19299.0
SA,10,10,2.0,27176.0
GA,10,10,17.0,820380.0
MIMIC,10,10,17.0,4047550.0
RHC,10,30,3.0,18117.0
SA,10,30,0.0,30326.0
GA,10,30,48.0,1017696.0
MIMIC,10,30,13.0,1.7174813E7
RHC,10,60,3.0,24025.0
SA,10,60,0.0,33477.0
GA,10,60,13.0,1224071.0
MIMIC,10,60,11.0,5.0787159E7
RHC,10,100,4.0,36627.0
SA,10,100,1.0,42929.0
GA,10,100,10.0,1658090.0
MIMIC,10,100,16.0,1.18953537E8
RHC,10,200,2.0,57501.0
SA,10,200,5.0,65378.0
GA,10,200,8.0,2515491.0
MIMIC,10,200,17.0,3.86347426E8
RHC,10,300,2.0,82707.0
SA,10,300,4.0,87434.0
GA,10,300,14.0,3292155.0
MIMIC,10,300,22.0,8.49432882E8
RHC,30,10,10.0,33083.0
SA,30,10,6.0,53957.0
GA,30,10,17.0,1670692.0
MIMIC,30,10,17.0,7987974.0
RHC,30,30,15.0,36627.0
SA,30,30,2.0,58683.0
GA,30,30,44.0,1940871.0
MIMIC,30,30,42.0,6.7415709E7
RHC,30,60,6.0,102794.0
SA,30,60,3.0,156750.0
GA,30,60,12.0,5235387.0
MIMIC,30,60,11.0,2.03395972E8
RHC,30,100,0.0,139027.0
SA,30,100,1.0,174473.0
GA,30,100,16.0,6400776.0
MIMIC,30,100,19.0,3.41750336E8
RHC,30,200,6.0,159113.0
SA,30,200,1.0,201255.0
GA,30,200,9.0,6774930.0
MIMIC,30,200,14.0,8.74313675E8
RHC,30,300,7.0,219766.0
SA,30,300,0.0,244579.0
GA,30,300,10.0,7615396.0
MIMIC,30,300,21.0,2.093494578E9
RHC,60,10,10.0,57108.0
SA,60,10,17.0,110276.0
GA,60,10,17.0,3182665.0
MIMIC,60,10,17.0,1.8838416E7
RHC,60,30,30.0,71286.0
SA,60,30,16.0,120517.0
GA,60,30,43.0,3812030.0
MIMIC,60,30,49.0,5.8807035E7
RHC,60,60,3.0,96098.0
SA,60,60,5.0,144147.0
GA,60,60,75.0,4673371.0
MIMIC,60,60,21.0,1.75923282E8
RHC,60,100,5.0,161476.0
SA,60,100,12.0,186289.0
GA,60,100,22.0,6368875.0
MIMIC,60,100,10.0,4.24919469E8
RHC,60,200,1.0,280418.0
SA,60,200,0.0,320196.0
GA,60,200,9.0,1.3865723E7
MIMIC,60,200,19.0,1.92555415E9
RHC,60,300,1.0,777057.0
SA,60,300,3.0,874731.0
GA,60,300,9.0,2.8382473E7
MIMIC,60,300,20.0,5.373092163E9
RHC,100,10,10.0,146904.0
SA,100,10,10.0,401723.0
GA,100,10,17.0,7535839.0
MIMIC,100,10,17.0,4.5109484E7
RHC,100,30,30.0,258757.0
SA,100,30,24.0,497033.0
GA,100,30,47.0,1.3398622E7
MIMIC,100,30,49.0,2.06174946E8
RHC,100,60,22.0,281206.0
SA,100,60,11.0,467101.0
GA,100,60,13.0,1.9122773E7
MIMIC,100,60,16.0,5.97036234E8
RHC,100,100,13.0,411175.0
SA,100,100,8.0,522239.0
GA,100,100,16.0,2.2826889E7
MIMIC,100,100,16.0,1.288859648E9
RHC,100,200,10.0,604159.0
SA,100,200,5.0,764848.0
GA,100,200,17.0,2.6670821E7
MIMIC,100,200,20.0,4.04748122E9
RHC,100,300,4.0,786903.0
SA,100,300,4.0,870005.0
GA,100,300,11.0,2.8684552E7
MIMIC,100,300,29.0,8.204665336E9
RHC,200,10,10.0,175261.0
SA,200,10,10.0,578559.0
GA,200,10,17.0,1.032584E7
MIMIC,200,10,17.0,5.3403081E7
RHC,200,30,30.0,240639.0
SA,200,30,30.0,581710.0
GA,200,30,44.0,1.2085936E7
MIMIC,200,30,52.0,1.89802396E8
RHC,200,60,27.0,304049.0
SA,200,60,38.0,547445.0
GA,200,60,18.0,1.5172108E7
MIMIC,200,60,90.0,9.46244821E8
RHC,200,100,17.0,858189.0
SA,200,100,18.0,1288268.0
GA,200,100,16.0,4.0712987E7
MIMIC,200,100,51.0,2.028902349E9
RHC,200,200,12.0,1464711.0
SA,200,200,10.0,1921965.0
GA,200,200,8.0,5.7160367E7
MIMIC,200,200,23.0,7.578999294E9
RHC,200,300,16.0,2239799.0
SA,200,300,4.0,2658063.0
GA,200,300,16.0,8.8178059E7
MIMIC,200,300,39.0,1.0809938454E10
RHC,400,10,10.0,427322.0
SA,400,10,10.0,1569474.0
GA,400,10,17.0,2.8309611E7
MIMIC,400,10,17.0,1.68107419E8
RHC,400,30,30.0,1032269.0
SA,400,30,30.0,2958173.0
GA,400,30,53.0,5.6267519E7
MIMIC,400,30,29.0,8.11631989E8
RHC,400,60,57.0,1177598.0
SA,400,60,57.0,2307934.0
GA,400,60,16.0,6.128826E7
MIMIC,400,60,41.0,2.042777524E9
RHC,400,100,54.0,1996009.0
SA,400,100,42.0,3017644.0
GA,400,100,21.0,8.5752365E7
MIMIC,400,100,40.0,4.147187923E9
RHC,400,200,37.0,3024339.0
SA,400,200,45.0,3886467.0
GA,400,200,11.0,1.31104457E8
MIMIC,400,200,40.0,1.2105649437E10
RHC,400,300,15.0,6817858.0
SA,400,300,14.0,5396864.0
GA,400,300,17.0,1.74392011E8
MIMIC,400,300,38.0,2.4194703803E10
RHC,1000,10,10.0,1683689.0
SA,1000,10,17.0,6697736.0
GA,1000,10,17.0,9.3529631E7
MIMIC,1000,10,17.0,4.32597092E8
RHC,1000,30,30.0,2076353.0
SA,1000,30,53.0,6279472.0
GA,1000,30,53.0,9.4704472E7
MIMIC,1000,30,53.0,1.531382984E9
RHC,1000,60,60.0,6577219.0
SA,1000,60,60.0,8754002.0
GA,1000,60,79.0,1.6421465E8
MIMIC,1000,60,51.0,3.66308648E9
RHC,1000,100,96.0,2779761.0
SA,1000,100,90.0,4199968.0
GA,1000,100,34.0,1.17672751E8
MIMIC,1000,100,51.0,7.069533022E9
RHC,1000,200,71.0,4687549.0
SA,1000,200,51.0,8534237.0
GA,1000,200,28.0,3.29727415E8
MIMIC,1000,200,80.0,2.5298797945E10
RHC,1000,300,17.0,8745338.0
SA,1000,300,25.0,1.489878E7
GA,1000,300,14.0,3.7988324E8
MIMIC,1000,300,77.0,5.4220412458E10
RHC,10,10,17.0,14966.0
SA,10,10,3.0,20480.0
GA,10,10,17.0,593131.0
MIMIC,10,10,17.0,2925090.0
RHC,10,30,11.0,13390.0
SA,10,30,3.0,21268.0
GA,10,30,45.0,736098.0
MIMIC,10,30,43.0,1.2703879E7
RHC,10,60,2.0,19692.0
SA,10,60,2.0,28357.0
GA,10,60,10.0,996429.0
MIMIC,10,60,17.0,4.059562E7
RHC,10,100,2.0,30326.0
SA,10,100,2.0,37021.0
GA,10,100,11.0,1397363.0
MIMIC,10,100,7.0,1.40806052E8
RHC,10,200,2.0,101219.0
SA,10,200,0.0,107126.0
GA,10,200,12.0,4797826.0
MIMIC,10,200,21.0,6.07387675E8
RHC,10,300,1.0,87040.0
SA,10,300,1.0,91372.0
GA,10,300,12.0,3639526.0
MIMIC,10,300,19.0,8.57728449E8
RHC,30,10,10.0,31508.0
SA,30,10,3.0,54350.0
GA,30,10,17.0,1658090.0
MIMIC,30,10,17.0,8002152.0
RHC,30,30,9.0,37809.0
SA,30,30,2.0,58683.0
GA,30,30,50.0,1971984.0
MIMIC,30,30,41.0,3.1686048E7
RHC,30,60,9.0,54351.0
SA,30,60,1.0,77194.0
GA,30,60,16.0,2485953.0
MIMIC,30,60,26.0,9.4185777E7
RHC,30,100,3.0,83889.0
SA,30,100,0.0,100037.0
GA,30,100,14.0,3349262.0
MIMIC,30,100,24.0,2.27470563E8
RHC,30,200,7.0,154782.0
SA,30,200,0.0,170928.0
GA,30,200,12.0,1.0831143E7
MIMIC,30,200,8.0,1.109001456E9
RHC,30,300,9.0,226067.0
SA,30,300,2.0,236701.0
GA,30,300,10.0,7659901.0
MIMIC,30,300,27.0,2.049586324E9
RHC,60,10,10.0,58683.0
SA,60,10,17.0,108308.0
GA,60,10,17.0,3178727.0
MIMIC,60,10,17.0,1.5309167E7
RHC,60,30,10.0,65772.0
SA,60,30,7.0,116972.0
GA,60,30,40.0,7265267.0
MIMIC,60,30,50.0,5.9176068E7
RHC,60,60,11.0,112246.0
SA,60,60,1.0,141784.0
GA,60,60,18.0,4748989.0
MIMIC,60,60,13.0,1.82111382E8
RHC,60,100,20.0,159902.0
SA,60,100,2.0,194166.0
GA,60,100,20.0,6387386.0
MIMIC,60,100,30.0,4.10199495E8
RHC,60,200,6.0,260726.0
SA,60,200,6.0,317440.0
GA,60,200,13.0,1.0705901E7
MIMIC,60,200,19.0,1.726371537E9
RHC,60,300,11.0,475371.0
SA,60,300,3.0,556503.0
GA,60,300,9.0,2.5991043E7
MIMIC,60,300,25.0,3.310713344E9
RHC,100,10,10.0,75618.0
SA,100,10,17.0,187077.0
GA,100,10,17.0,4324029.0
MIMIC,100,10,17.0,2.1372811E7
RHC,100,30,30.0,129575.0
