Algorithm,Iteration,Evaluation,TrainingTime
GA,10,35.0,890487.0
MIMIC,10,20.0,9465708.0
RHC,20,35.0,274117.0
SA,20,35.0,767213.0
GA,20,28.0,1604137.0
MIMIC,20,33.0,1.7391082E7
RHC,40,20.0,486400.0
SA,40,20.0,1598229.0
GA,40,35.0,2846329.0
MIMIC,40,35.0,2.8776397E7
RHC,60,20.0,716801.0
SA,60,20.0,2454846.0
GA,60,35.0,4190921.0
MIMIC,60,34.0,4.3051365E7
RHC,80,20.0,964136.0
SA,80,35.0,3229147.0
GA,80,35.0,5111734.0
MIMIC,80,32.0,5.1118131E7
RHC,100,20.0,1092924.0
SA,100,35.0,3859302.0
GA,100,32.0,6316511.0
MIMIC,100,27.0,6.2017046E7
RHC,10,20.0,101613.0
SA,10,35.0,231975.0
GA,10,32.0,673478.0
MIMIC,10,32.0,7554370.0
RHC,20,20.0,200468.0
SA,20,20.0,604554.0
GA,20,30.0,1245343.0
MIMIC,20,29.0,1.3223004E7
RHC,40,20.0,407631.0
SA,40,35.0,1324112.0
GA,40,35.0,2401282.0
MIMIC,40,32.0,2.7555867E7
RHC,60,20.0,577773.0
SA,60,20.0,1971990.0
GA,60,33.0,3393382.0
MIMIC,60,31.0,3.5360724E7
RHC,80,20.0,775484.0
SA,80,20.0,2702575.0
GA,80,27.0,4396508.0
MIMIC,80,35.0,4.5212402E7
RHC,100,20.0,973983.0
SA,100,20.0,3451278.0
GA,100,34.0,5671390.0
MIMIC,100,32.0,5.7429127E7
RHC,10,20.0,96886.0
SA,10,20.0,221341.0
GA,10,29.0,637244.0
MIMIC,10,30.0,7204241.0
RHC,20,20.0,191804.0
SA,20,20.0,576197.0
GA,20,29.0,1176025.0
MIMIC,20,7.0,1.3348641E7
RHC,40,20.0,386757.0
SA,40,20.0,1279607.0
GA,40,30.0,2266193.0
MIMIC,40,33.0,2.3859617E7
RHC,60,20.0,586438.0
SA,60,35.0,2018463.0
GA,60,32.0,3320914.0
MIMIC,60,33.0,3.3994865E7
RHC,80,20.0,785330.0
SA,80,35.0,2719904.0
GA,80,32.0,4472521.0
MIMIC,80,30.0,4.5883516E7
RHC,100,35.0,987374.0
SA,100,35.0,3408741.0
GA,100,33.0,5613495.0
MIMIC,100,31.0,5.7902531E7
RHC,10,20.0,102794.0
SA,10,35.0,223311.0
GA,10,35.0,647878.0
MIMIC,10,35.0,7183367.0
RHC,20,20.0,196923.0
SA,20,20.0,579348.0
GA,20,29.0,1181933.0
MIMIC,20,30.0,1.2592456E7
RHC,40,35.0,402511.0
SA,40,20.0,1272912.0
GA,40,34.0,2327633.0
MIMIC,40,29.0,2.39439E7
RHC,60,20.0,587619.0
SA,60,35.0,1995226.0
GA,60,30.0,3388655.0
MIMIC,60,35.0,3.4632502E7
RHC,80,20.0,775484.0
SA,80,35.0,2751806.0
GA,80,32.0,4458737.0
MIMIC,80,34.0,4.9440738E7
RHC,100,20.0,971226.0
SA,100,20.0,3396926.0
GA,100,35.0,5617827.0
MIMIC,100,32.0,5.7017951E7
RHC,10,20.0,96887.0
SA,10,20.0,230006.0
GA,10,33.0,652209.0
MIMIC,10,14.0,7008499.0
RHC,20,20.0,198893.0
SA,20,35.0,587225.0
GA,20,35.0,1211472.0
MIMIC,20,32.0,1.2662954E7
RHC,40,20.0,399754.0
SA,40,20.0,1276457.0
GA,40,35.0,2317787.0
MIMIC,40,32.0,2.3474042E7
RHC,60,35.0,600616.0
SA,60,20.0,1987350.0
GA,60,29.0,3359905.0
MIMIC,60,35.0,3.4651013E7
RHC,80,20.0,766032.0
SA,80,35.0,2729357.0
GA,80,35.0,4454798.0
MIMIC,80,30.0,4.6760612E7
RHC,100,20.0,964136.0
SA,100,20.0,3400077.0
GA,100,35.0,5594983.0
MIMIC,100,32.0,5.9618914E7
RHC,10,20.0,102401.0
SA,10,20.0,216616.0
GA,10,33.0,651028.0
MIMIC,10,29.0,7362568.0
RHC,20,20.0,195742.0
SA,20,35.0,578955.0
GA,20,35.0,1196111.0
MIMIC,20,35.0,1.2487692E7
RHC,40,20.0,380456.0
SA,40,35.0,1301269.0
GA,40,34.0,2296519.0
MIMIC,40,34.0,2.4340504E7
RHC,60,20.0,586438.0
SA,60,35.0,2008224.0
GA,60,31.0,3409135.0
MIMIC,60,10.0,3.5276441E7
RHC,80,20.0,772727.0
SA,80,20.0,2664766.0
GA,80,34.0,4465826.0
MIMIC,80,35.0,4.6020969E7
RHC,100,20.0,961773.0
SA,100,20.0,3447733.0
GA,100,35.0,5557962.0
MIMIC,100,35.0,5.6461053E7
RHC,10,20.0,80739.0
SA,10,35.0,182351.0
GA,10,31.0,505305.0
MIMIC,10,31.0,5532756.0
RHC,20,20.0,152812.0
SA,20,35.0,431262.0
GA,20,29.0,942475.0
MIMIC,20,33.0,9916662.0
RHC,40,20.0,302868.0
SA,40,35.0,1045662.0
GA,40,32.0,1800273.0
MIMIC,40,32.0,2.1473301E7
RHC,60,20.0,477342.0
SA,60,20.0,1673060.0
GA,60,32.0,2695092.0
MIMIC,60,35.0,2.8234071E7
RHC,80,20.0,618733.0
SA,80,20.0,2298882.0
GA,80,35.0,3709641.0
MIMIC,80,35.0,3.7018818E7
RHC,100,20.0,766425.0
SA,100,35.0,2945578.0
GA,100,33.0,4437468.0
MIMIC,100,32.0,4.5868944E7
RHC,10,20.0,76800.0
SA,10,35.0,179988.0
GA,10,35.0,515939.0
MIMIC,10,34.0,5600498.0
RHC,20,20.0,155176.0
SA,20,35.0,460800.0
GA,20,35.0,972407.0
MIMIC,20,32.0,1.0478681E7
RHC,40,35.0,314684.0
SA,40,20.0,994856.0
GA,40,33.0,1807756.0
MIMIC,40,33.0,1.9091711E7
RHC,60,20.0,537206.0
SA,60,20.0,1675423.0
GA,60,35.0,2756532.0
MIMIC,60,35.0,2.7855979E7
RHC,80,20.0,660481.0
SA,80,35.0,2221688.0
GA,80,33.0,3594243.0
MIMIC,80,33.0,4.0634723E7
RHC,100,20.0,759730.0
SA,100,35.0,2712027.0
GA,100,35.0,4373666.0
MIMIC,100,35.0,4.5436894E7
RHC,10,35.0,81920.0
SA,10,35.0,173686.0
GA,10,35.0,515939.0
MIMIC,10,32.0,5842714.0
RHC,20,20.0,162658.0
SA,20,35.0,473404.0
GA,20,30.0,972013.0
MIMIC,20,34.0,1.0297512E7
RHC,40,20.0,311138.0
SA,40,35.0,1036998.0
GA,40,34.0,2018858.0
MIMIC,40,33.0,1.8807354E7
RHC,60,20.0,459225.0
SA,60,20.0,1561996.0
GA,60,33.0,2718722.0
MIMIC,60,33.0,2.8199019E7
RHC,80,20.0,615975.0
SA,80,20.0,2092113.0
GA,80,34.0,3574945.0
MIMIC,80,35.0,3.6859704E7
RHC,100,20.0,788087.0
SA,100,20.0,2770710.0
GA,100,34.0,4593826.0
MIMIC,100,14.0,4.9398596E7
RHC,10,20.0,76406.0
SA,10,35.0,172505.0
GA,10,33.0,515151.0
MIMIC,10,32.0,5889975.0
RHC,20,35.0,163446.0
SA,20,35.0,474192.0
GA,20,31.0,983041.0
MIMIC,20,29.0,1.0525549E7
RHC,40,20.0,307988.0
SA,40,35.0,1014943.0
GA,40,33.0,1832174.0
MIMIC,40,31.0,1.9344167E7
RHC,60,20.0,456862.0
SA,60,35.0,1589565.0
GA,60,32.0,2722267.0
MIMIC,60,30.0,2.8439265E7
RHC,80,20.0,604555.0
SA,80,35.0,2141344.0
GA,80,32.0,3620238.0
MIMIC,80,35.0,3.6131482E7
RHC,100,20.0,770758.0
SA,100,20.0,2706907.0
GA,100,35.0,4411869.0
MIMIC,100,13.0,4.7671579E7
RHC,10,35.0,85464.0
SA,10,35.0,196530.0
GA,10,33.0,540752.0
MIMIC,10,20.0,5644215.0
RHC,20,20.0,148086.0
SA,20,35.0,450167.0
GA,20,32.0,941687.0
MIMIC,20,32.0,1.0025757E7
RHC,40,20.0,314290.0
SA,40,20.0,1005491.0
GA,40,34.0,1890857.0
MIMIC,40,29.0,1.8731341E7
RHC,60,20.0,458044.0
SA,60,35.0,1588777.0
GA,60,34.0,2663191.0
MIMIC,60,30.0,3.1248572E7
RHC,80,20.0,641182.0
SA,80,35.0,2268162.0
GA,80,31.0,3658046.0
MIMIC,80,35.0,3.6613156E7
RHC,100,20.0,788874.0
SA,100,20.0,2755744.0
GA,100,35.0,4443770.0
MIMIC,100,35.0,4.5298654E7
RHC,10,20.0,79951.0
SA,10,20.0,179594.0
GA,10,35.0,534844.0
MIMIC,10,32.0,5767489.0
RHC,20,20.0,153994.0
SA,20,35.0,449773.0
GA,20,35.0,955078.0
MIMIC,20,32.0,9927690.0
RHC,40,20.0,309564.0
SA,40,20.0,1017305.0
GA,40,35.0,1805786.0
MIMIC,40,30.0,1.9187809E7
RHC,60,20.0,469071.0
SA,60,35.0,1599017.0
GA,60,34.0,2707695.0
MIMIC,60,29.0,2.8774428E7
RHC,80,20.0,611250.0
SA,80,35.0,2157492.0
GA,80,33.0,3571401.0
MIMIC,80,32.0,3.6596221E7
RHC,100,20.0,763669.0
SA,100,20.0,2707301.0
GA,100,35.0,4773420.0
MIMIC,100,35.0,4.5289989E7
RHC,10,35.0,81526.0
SA,10,20.0,175655.0
GA,10,33.0,511606.0
MIMIC,10,32.0,5516215.0
RHC,20,20.0,152418.0
SA,20,35.0,447410.0
GA,20,35.0,946019.0
MIMIC,20,31.0,1.0310903E7
RHC,40,20.0,302474.0
SA,40,20.0,1003915.0
GA,40,29.0,1795546.0
MIMIC,40,32.0,1.8797114E7
RHC,60,20.0,463951.0
SA,60,35.0,1576173.0
GA,60,35.0,2981812.0
MIMIC,60,30.0,3.1626271E7
RHC,80,20.0,615582.0
SA,80,20.0,2112593.0
GA,80,35.0,3535955.0
MIMIC,80,29.0,3.723307E7
RHC,100,20.0,790056.0
SA,100,20.0,2646255.0
GA,100,35.0,4447315.0
MIMIC,100,35.0,4.557986E7
RHC,10,20.0,82314.0
SA,10,20.0,183138.0
GA,10,33.0,527360.0
MIMIC,10,35.0,5821446.0
RHC,20,20.0,157144.0
SA,20,20.0,463558.0
GA,20,35.0,973589.0
MIMIC,20,27.0,1.0220712E7
RHC,40,20.0,304050.0
SA,40,35.0,1024001.0
GA,40,33.0,1829811.0
MIMIC,40,32.0,1.9683662E7
RHC,60,20.0,483644.0
SA,60,20.0,1576568.0
GA,60,35.0,2734083.0
MIMIC,60,34.0,2.7654329E7
RHC,80,20.0,636849.0
SA,80,20.0,2147645.0
GA,80,32.0,3498539.0
MIMIC,80,29.0,3.689515E7
RHC,100,20.0,868825.0
SA,100,35.0,2836877.0
GA,100,32.0,4502453.0
MIMIC,100,34.0,4.5531811E7
RHC,10,35.0,83101.0
SA,10,35.0,167779.0
GA,10,29.0,505699.0
MIMIC,10,29.0,5685963.0
RHC,20,20.0,151631.0
SA,20,20.0,442290.0
GA,20,35.0,953896.0
MIMIC,20,32.0,1.2871693E7
RHC,40,20.0,353280.0
SA,40,35.0,1118524.0
GA,40,33.0,2070057.0
MIMIC,40,34.0,1.9478862E7
RHC,60,20.0,474979.0
SA,60,35.0,1594291.0
GA,60,34.0,2706907.0
MIMIC,60,30.0,2.8498342E7
RHC,80,20.0,625822.0
SA,80,35.0,2223657.0
GA,80,32.0,3653321.0
MIMIC,80,35.0,3.6370152E7
RHC,100,20.0,773121.0
SA,100,20.0,2674612.0
GA,100,35.0,4463463.0
MIMIC,100,35.0,4.6680662E7
RHC,10,20.0,79164.0
SA,10,35.0,181170.0
GA,10,34.0,528148.0
MIMIC,10,33.0,5847440.0
RHC,20,20.0,152418.0
SA,20,20.0,456862.0
GA,20,30.0,936567.0
MIMIC,20,34.0,9913118.0
RHC,40,20.0,306019.0
SA,40,20.0,1063779.0
GA,40,31.0,1946390.0
MIMIC,40,35.0,1.8410751E7
RHC,60,35.0,475373.0
SA,60,35.0,1602168.0
GA,60,35.0,2691941.0
MIMIC,60,33.0,2.7503092E7
RHC,80,20.0,608099.0
SA,80,20.0,2146069.0
GA,80,35.0,3588730.0
MIMIC,80,34.0,3.7860074E7
RHC,100,20.0,798327.0
SA,100,20.0,2758501.0
GA,100,35.0,4605642.0
MIMIC,100,35.0,4.8217844E7
RHC,10,20.0,80738.0
SA,10,35.0,180776.0
GA,10,31.0,512394.0
MIMIC,10,33.0,5786394.0
RHC,20,20.0,151237.0
SA,20,35.0,457649.0
GA,20,35.0,1015336.0
MIMIC,20,35.0,1.01766E7
RHC,40,20.0,303261.0
SA,40,35.0,1030697.0
GA,40,35.0,1826266.0
MIMIC,40,32.0,1.9374493E7
RHC,60,35.0,474192.0
SA,60,20.0,1579324.0
GA,60,34.0,2733689.0
MIMIC,60,32.0,2.8129701E7
RHC,80,20.0,639213.0
SA,80,35.0,2228778.0
GA,80,35.0,3600151.0
MIMIC,80,35.0,3.6322104E7
RHC,100,20.0,773121.0
SA,100,20.0,2666341.0
GA,100,35.0,4404780.0
MIMIC,100,13.0,4.7047332E7
RHC,10,20.0,78375.0
SA,10,20.0,185502.0
GA,10,32.0,501760.0
MIMIC,10,31.0,5571354.0
RHC,20,35.0,158327.0
SA,20,35.0,465132.0
GA,20,32.0,945625.0
MIMIC,20,33.0,1.0251038E7
RHC,40,20.0,317835.0
SA,40,35.0,1060235.0
GA,40,31.0,1866832.0
MIMIC,40,30.0,1.9024363E7
RHC,60,20.0,463164.0
SA,60,20.0,1560026.0
GA,60,35.0,2721086.0
MIMIC,60,35.0,2.7538932E7
RHC,80,20.0,615583.0
SA,80,35.0,2128741.0
GA,80,33.0,3819524.0
MIMIC,80,32.0,4.0914748E7
RHC,100,20.0,786512.0
SA,100,35.0,2865628.0
GA,100,35.0,4544201.0
MIMIC,100,35.0,4.485794E7
RHC,10,20.0,81920.0
SA,10,20.0,179594.0
GA,10,32.0,533662.0
MIMIC,10,29.0,5801359.0
RHC,20,20.0,162265.0
SA,20,20.0,470252.0
GA,20,35.0,973982.0
MIMIC,20,35.0,1.0016306E7
RHC,40,20.0,306413.0
SA,40,20.0,1023213.0
GA,40,33.0,1819965.0
MIMIC,40,32.0,1.854072E7
RHC,60,20.0,456468.0
SA,60,35.0,1571842.0
GA,60,34.0,2756532.0
MIMIC,60,35.0,2.7003694E7
RHC,80,20.0,607312.0
SA,80,20.0,2230747.0
GA,80,35.0,3556828.0
MIMIC,80,35.0,3.6520209E7
RHC,100,20.0,768788.0
SA,100,35.0,2717935.0
GA,100,34.0,4746639.0
MIMIC,100,35.0,4.5578285E7
RHC,10,20.0,78376.0
SA,10,35.0,167384.0
GA,10,35.0,511606.0
MIMIC,10,33.0,5635157.0
RHC,20,20.0,154388.0
SA,20,20.0,452923.0
GA,20,33.0,956260.0
MIMIC,20,31.0,1.021953E7
RHC,40,20.0,303655.0
SA,40,20.0,1041724.0
GA,40,32.0,1813269.0
MIMIC,40,31.0,1.9130702E7
RHC,60,20.0,524604.0
SA,60,35.0,1654550.0
GA,60,35.0,2892803.0
MIMIC,60,34.0,2.8730711E7
RHC,80,20.0,625823.0
SA,80,35.0,2205147.0
GA,80,35.0,3689948.0
MIMIC,80,34.0,3.6192922E7
RHC,100,20.0,763275.0
SA,100,35.0,2767166.0
GA,100,34.0,4460706.0
MIMIC,100,9.0,4.6801572E7
RHC,10,20.0,83495.0
SA,10,35.0,188259.0
GA,10,32.0,531299.0
MIMIC,10,32.0,5734011.0
RHC,20,20.0,155963.0
SA,20,20.0,471828.0
GA,20,32.0,1027152.0
MIMIC,20,29.0,1.0271124E7
RHC,40,20.0,303262.0
SA,40,35.0,1003521.0
GA,40,30.0,1835325.0
MIMIC,40,34.0,1.8793569E7
RHC,60,20.0,462770.0
SA,60,20.0,1575386.0
GA,60,35.0,2691547.0
MIMIC,60,32.0,2.8457381E7
RHC,80,20.0,612037.0
SA,80,20.0,2131891.0
GA,80,31.0,3507204.0
MIMIC,80,32.0,3.6954621E7
RHC,100,20.0,890881.0
SA,100,20.0,2722661.0
GA,100,33.0,4608792.0
MIMIC,100,32.0,9.7080021E7
RHC,10,20.0,215434.0
SA,10,20.0,474191.0
GA,10,35.0,1393429.0
MIMIC,10,31.0,1.5417517E7
RHC,20,20.0,422204.0
SA,20,35.0,1281576.0
GA,20,35.0,2576545.0
MIMIC,20,30.0,2.7011177E7
RHC,40,20.0,820382.0
SA,40,35.0,2817972.0
GA,40,31.0,4883304.0
MIMIC,40,35.0,5.114373E7
RHC,60,20.0,1241404.0
SA,60,35.0,4372090.0
GA,60,35.0,7339724.0
MIMIC,60,35.0,6.9296905E7
RHC,80,20.0,1560813.0
SA,80,20.0,5414996.0
GA,80,35.0,8892267.0
MIMIC,80,35.0,8.1393901E7
RHC,100,20.0,1658487.0
SA,100,20.0,5903366.0
GA,100,35.0,9636637.0
MIMIC,100,35.0,8.6023567E7
RHC,10,20.0,150844.0
SA,10,20.0,343435.0
GA,10,29.0,980678.0
MIMIC,10,32.0,1.0880799E7
RHC,20,20.0,268603.0
SA,20,20.0,807385.0
GA,20,35.0,1605712.0
MIMIC,20,17.0,1.6844029E7
RHC,40,20.0,532874.0
SA,40,20.0,1745922.0
GA,40,32.0,3129111.0
MIMIC,40,35.0,3.2251306E7
RHC,60,20.0,789268.0
SA,60,20.0,2748655.0
GA,60,35.0,4659598.0
MIMIC,60,35.0,4.3004104E7
RHC,80,20.0,971226.0
SA,80,20.0,3328003.0
GA,80,35.0,5535119.0
MIMIC,80,14.0,5.6776918E7
RHC,100,20.0,1091349.0
SA,100,35.0,3914047.0
GA,100,34.0,9652785.0
MIMIC,100,35.0,6.404378E7
RHC,10,20.0,115397.0
SA,10,34.0,240640.0
GA,10,34.0,730191.0
MIMIC,10,35.0,7849362.0
RHC,20,20.0,205982.0
SA,20,20.0,602192.0
GA,20,32.0,1239829.0
MIMIC,20,35.0,1.2989059E7
RHC,40,20.0,399361.0
SA,40,35.0,1362316.0
GA,40,35.0,2400495.0
MIMIC,40,27.0,2.5594512E7
RHC,60,20.0,609674.0
SA,60,20.0,2065725.0
GA,60,35.0,3577308.0
MIMIC,60,33.0,3.6100368E7
RHC,80,20.0,761305.0
SA,80,20.0,2718723.0
GA,80,35.0,4478035.0
MIMIC,80,35.0,4.5045016E7
RHC,100,20.0,979497.0
SA,100,20.0,3395745.0
GA,100,32.0,5583957.0
MIMIC,100,33.0,5.639016E7
RHC,10,20.0,100430.0
SA,10,35.0,231976.0
GA,10,31.0,646696.0
MIMIC,10,35.0,7186517.0
RHC,20,20.0,189440.0
SA,20,35.0,582105.0
GA,20,33.0,1200051.0
MIMIC,20,32.0,1.250581E7
RHC,40,20.0,388333.0
SA,40,35.0,1278819.0
GA,40,34.0,2320937.0
MIMIC,40,35.0,2.3496884E7
RHC,60,35.0,601403.0
SA,60,35.0,1993651.0
GA,60,29.0,3399684.0
MIMIC,60,34.0,3.448284E7
RHC,80,20.0,772333.0
SA,80,35.0,2741172.0
GA,80,35.0,4517026.0
MIMIC,80,35.0,4.8376171E7
RHC,100,20.0,959804.0
SA,100,35.0,3494206.0
GA,100,35.0,5570959.0
MIMIC,100,34.0,5.7095933E7
RHC,10,20.0,101219.0
SA,10,20.0,218585.0
GA,10,30.0,641970.0
MIMIC,10,13.0,7112868.0
RHC,20,20.0,188652.0
SA,20,35.0,577773.0
GA,20,35.0,1213047.0
MIMIC,20,31.0,1.2466818E7
RHC,40,20.0,387151.0
SA,40,20.0,1281183.0
GA,40,35.0,2304790.0
MIMIC,40,34.0,2.3954928E7
RHC,60,20.0,601404.0
SA,60,35.0,2025947.0
GA,60,35.0,3400077.0
MIMIC,60,29.0,3.5047617E7
RHC,80,20.0,778241.0
SA,80,20.0,2711240.0
GA,80,35.0,4476853.0
MIMIC,80,28.0,4.5836648E7
RHC,100,20.0,979102.0
SA,100,35.0,3422527.0
GA,100,35.0,5558357.0
MIMIC,100,31.0,5.660008E7
RHC,10,20.0,100825.0
SA,10,7.0,203224.0
GA,10,31.0,647484.0
MIMIC,10,34.0,7028191.0
RHC,20,20.0,197711.0
SA,20,20.0,573835.0
GA,20,30.0,1190598.0
MIMIC,20,33.0,1.231755E7
RHC,40,20.0,389908.0
SA,40,20.0,1299300.0
GA,40,34.0,2324089.0
MIMIC,40,35.0,2.34831E7
RHC,60,20.0,588013.0
SA,60,35.0,2019645.0
GA,60,32.0,3336668.0
MIMIC,60,35.0,6.923901E7
RHC,80,20.0,1681331.0
SA,80,35.0,5882885.0
GA,80,35.0,9792601.0
MIMIC,80,35.0,9.8680614E7
RHC,100,20.0,2069269.0
SA,100,20.0,7348388.0
GA,100,35.0,1.1155309E7
MIMIC,100,34.0,1.0871543E8
RHC,10,20.0,176050.0
SA,10,35.0,408025.0
GA,10,29.0,1099619.0
MIMIC,10,34.0,1.2300615E7
RHC,20,35.0,347372.0
SA,20,35.0,1016912.0
GA,20,33.0,2085812.0
MIMIC,20,32.0,2.2594976E7
RHC,40,35.0,694351.0
SA,40,35.0,2265012.0
GA,40,30.0,3982970.0
MIMIC,40,31.0,3.8753318E7
RHC,60,20.0,881035.0
SA,60,35.0,3097997.0
GA,60,35.0,5227919.0
MIMIC,60,32.0,5.2492655E7
RHC,80,20.0,1171300.0
SA,80,20.0,4078281.0
GA,80,34.0,6577631.0
MIMIC,80,34.0,6.2711003E7
RHC,100,20.0,1310328.0
SA,100,20.0,4626910.0
GA,100,35.0,7548857.0
MIMIC,100,34.0,7.0438272E7
RHC,10,20.0,125243.0
SA,10,35.0,290265.0
GA,10,35.0,800296.0
MIMIC,10,33.0,1.708585E7
RHC,20,20.0,428111.0
SA,20,35.0,1228801.0
GA,20,35.0,2593479.0
MIMIC,20,30.0,2.7392421E7
RHC,40,20.0,856222.0
SA,40,35.0,2830969.0
GA,40,33.0,4906934.0
MIMIC,40,34.0,5.1291816E7
RHC,60,20.0,1254401.0
SA,60,35.0,4309075.0
GA,60,35.0,7339724.0
MIMIC,60,31.0,7.4984049E7
RHC,80,20.0,1709688.0
SA,80,20.0,5814750.0
GA,80,35.0,8414138.0
MIMIC,80,32.0,8.6159051E7
RHC,100,20.0,1578537.0
SA,100,35.0,5572535.0
GA,100,35.0,9081314.0
MIMIC,100,31.0,8.8443361E7
RHC,10,20.0,144148.0
SA,10,20.0,316259.0
GA,10,33.0,923570.0
MIMIC,10,30.0,1.0149031E7
RHC,20,20.0,278844.0
SA,20,20.0,841256.0
GA,20,35.0,1717959.0
MIMIC,20,35.0,1.8256363E7
RHC,40,20.0,569896.0
SA,40,20.0,1895584.0
GA,40,28.0,3246871.0
MIMIC,40,32.0,3.3438753E7
RHC,60,20.0,755004.0
SA,60,35.0,2610415.0
GA,60,35.0,4407537.0
MIMIC,60,30.0,4.5278962E7
RHC,80,20.0,1020456.0
SA,80,20.0,3569038.0
GA,80,35.0,5836018.0
MIMIC,80,32.0,6.1256134E7
RHC,100,20.0,1180358.0
SA,100,20.0,4012902.0
GA,100,35.0,6611895.0
MIMIC,100,34.0,6.5588052E7
RHC,10,20.0,103188.0
SA,10,20.0,243791.0
GA,10,31.0,692382.0
MIMIC,10,35.0,7635896.0
RHC,20,20.0,213859.0
SA,20,35.0,634093.0
GA,20,34.0,1310721.0
MIMIC,20,29.0,1.3533748E7
RHC,40,20.0,418659.0
SA,40,20.0,1406820.0
GA,40,35.0,2488322.0
MIMIC,40,32.0,2.5605539E7
RHC,60,20.0,621490.0
SA,60,35.0,2186242.0
GA,60,35.0,3691524.0
MIMIC,60,35.0,3.4439123E7
RHC,80,20.0,782573.0
SA,80,35.0,2698636.0
GA,80,35.0,4478035.0
MIMIC,80,35.0,4.5751577E7
RHC,100,20.0,969257.0
SA,100,35.0,3437099.0
GA,100,32.0,5599710.0
MIMIC,100,35.0,5.7193608E7
RHC,10,20.0,99250.0
SA,10,35.0,225674.0
GA,10,29.0,634487.0
MIMIC,10,35.0,7096327.0
RHC,20,20.0,193772.0
SA,20,35.0,587225.0
GA,20,34.0,1199263.0
MIMIC,20,32.0,1.2382141E7
RHC,40,20.0,398967.0
SA,40,20.0,1266610.0
GA,40,33.0,2301639.0
MIMIC,40,35.0,2.37391E7
RHC,60,20.0,585650.0
SA,60,35.0,1994833.0
GA,60,35.0,3451671.0
MIMIC,60,31.0,7.3663875E7
RHC,80,35.0,1799091.0
SA,80,35.0,5855710.0
GA,80,33.0,9742582.0
MIMIC,80,31.0,9.9695163E7
RHC,100,35.0,2145676.0
SA,100,35.0,7489386.0
GA,100,33.0,1.2104479E7
MIMIC,100,34.0,1.08784747E8
RHC,10,20.0,184714.0
SA,10,20.0,390696.0
GA,10,34.0,1224468.0
MIMIC,10,32.0,1.1466449E7
RHC,20,20.0,311927.0
SA,20,35.0,943262.0
GA,20,35.0,1932211.0
MIMIC,20,34.0,2.0316574E7
RHC,40,20.0,628973.0
SA,40,35.0,2094082.0
GA,40,31.0,3696249.0
MIMIC,40,31.0,3.8191693E7
RHC,60,20.0,949564.0
SA,60,20.0,3185824.0
GA,60,35.0,5552055.0
MIMIC,60,17.0,4.9574252E7
RHC,80,20.0,1111829.0
SA,80,35.0,3968004.0
GA,80,35.0,6408671.0
MIMIC,80,35.0,6.1648011E7
RHC,100,20.0,1276063.0
SA,100,35.0,4497727.0
GA,100,35.0,7242444.0
MIMIC,100,30.0,1.08737879E8
RHC,10,20.0,217010.0
SA,10,20.0,482462.0
GA,10,32.0,1382796.0
MIMIC,10,34.0,1.5241467E7
RHC,20,20.0,416296.0
SA,20,20.0,1172087.0
GA,20,35.0,2661615.0
MIMIC,20,30.0,2.7595252E7
RHC,40,20.0,834561.0
SA,40,35.0,2821910.0
GA,40,31.0,4949470.0
MIMIC,40,29.0,5.1962143E7
RHC,60,35.0,1300875.0
SA,60,35.0,4381543.0
GA,60,34.0,7415343.0
MIMIC,60,35.0,6.6820398E7
RHC,80,35.0,1493073.0
SA,80,35.0,5097949.0
GA,80,35.0,8310162.0
MIMIC,80,35.0,7.5374745E7
RHC,100,20.0,1591140.0
SA,100,35.0,5589470.0
GA,100,32.0,9076982.0
MIMIC,100,31.0,8.4644317E7
RHC,10,20.0,142572.0
SA,10,20.0,324924.0
GA,10,31.0,927903.0
MIMIC,10,31.0,1.0200626E7
RHC,20,20.0,283963.0
SA,20,20.0,816444.0
GA,20,31.0,1712839.0
MIMIC,20,33.0,1.7257962E7
RHC,40,20.0,500579.0
SA,40,20.0,1636827.0
GA,40,32.0,2974329.0
MIMIC,40,29.0,3.0967366E7
RHC,60,20.0,767607.0
SA,60,35.0,2583240.0
GA,60,30.0,4379180.0
MIMIC,60,35.0,5.9765425E7
RHC,80,20.0,1668334.0
SA,80,35.0,5943538.0
GA,80,35.0,9664994.0
MIMIC,80,31.0,9.917371E7
RHC,100,20.0,2098414.0
SA,100,35.0,7504745.0
GA,100,35.0,1.2066276E7
MIMIC,100,30.0,1.12508566E8
RHC,10,20.0,188258.0
SA,10,20.0,417477.0
GA,10,33.0,1177207.0
MIMIC,10,29.0,1.350106E7
RHC,20,20.0,356825.0
SA,20,35.0,1070475.0
GA,20,35.0,2215387.0
MIMIC,20,34.0,2.1299614E7
RHC,40,20.0,626216.0
SA,40,20.0,2095658.0
GA,40,35.0,3656865.0
MIMIC,40,34.0,3.816373E7
RHC,60,20.0,953108.0
SA,60,35.0,3263412.0
GA,60,35.0,5546935.0
MIMIC,60,32.0,5.3644655E7
RHC,80,20.0,1122069.0
SA,80,20.0,3934134.0
GA,80,35.0,6377557.0
MIMIC,80,35.0,6.4037084E7
RHC,100,20.0,1251645.0
SA,100,35.0,4446528.0
GA,100,35.0,7185336.0
MIMIC,100,35.0,7.7281356E7
RHC,10,35.0,134695.0
SA,10,35.0,301293.0
GA,10,32.0,832591.0
MIMIC,10,35.0,8809559.0
RHC,20,20.0,228431.0
SA,20,35.0,677810.0
GA,20,35.0,1395792.0
MIMIC,20,30.0,1.5008311E7
