Algorithm,Iteration,N,Evaluation,TrainingTime
GA,40,50,16.0,4771830.0
MIMIC,40,50,68.0,1.38128242E8
RHC,40,60,15.0,132726.0
SA,40,60,0.0,203224.0
GA,40,60,9.0,6679222.0
MIMIC,40,60,15.0,2.57091184E8
RHC,40,70,6.0,124061.0
SA,40,70,0.0,188652.0
GA,40,70,15.0,6226301.0
MIMIC,40,70,18.0,2.29808339E8
RHC,40,80,10.0,99249.0
SA,40,80,2.0,149661.0
GA,40,80,16.0,8400327.0
MIMIC,40,80,21.0,2.26427571E8
RHC,40,90,3.0,97674.0
SA,40,90,0.0,122092.0
GA,40,90,11.0,4060151.0
MIMIC,40,90,13.0,2.45074964E8
RHC,40,100,11.0,105944.0
SA,40,100,0.0,134695.0
GA,40,100,10.0,4404372.0
MIMIC,40,100,20.0,2.90176947E8
RHC,50,10,10.0,50019.0
SA,50,10,16.0,86252.0
GA,50,10,17.0,2581262.0
MIMIC,50,10,17.0,1.3253288E7
RHC,50,20,35.0,54745.0
SA,50,20,9.0,88221.0
GA,50,20,28.0,2809298.0
MIMIC,50,20,35.0,2.9102805E7
RHC,50,30,30.0,65379.0
SA,50,30,0.0,98067.0
GA,50,30,46.0,3075538.0
MIMIC,50,30,44.0,4.9785591E7
RHC,50,40,14.0,68922.0
SA,50,40,1.0,103581.0
GA,50,40,20.0,3352018.0
MIMIC,50,40,56.0,7.6159835E7
RHC,50,50,6.0,153994.0
SA,50,50,4.0,209920.0
GA,50,50,17.0,7777263.0
MIMIC,50,50,20.0,2.28572846E8
RHC,50,60,13.0,148873.0
SA,50,60,0.0,229612.0
GA,50,60,14.0,7629177.0
MIMIC,50,60,16.0,2.56463789E8
RHC,50,70,11.0,171323.0
SA,50,70,2.0,264664.0
GA,50,70,12.0,8729187.0
MIMIC,50,70,20.0,3.71631244E8
RHC,50,80,6.0,137846.0
SA,50,80,0.0,222523.0
GA,50,80,14.0,7236120.0
MIMIC,50,80,13.0,3.16016349E8
RHC,50,90,8.0,123667.0
SA,50,90,1.0,160689.0
GA,50,90,16.0,5494536.0
MIMIC,50,90,17.0,4.94069478E8
RHC,50,100,4.0,183925.0
SA,50,100,2.0,243396.0
GA,50,100,11.0,8698861.0
MIMIC,50,100,28.0,6.13119066E8
RHC,60,10,17.0,92553.0
SA,60,10,16.0,172898.0
GA,60,10,17.0,4978992.0
MIMIC,60,10,17.0,2.4456612E7
RHC,60,20,20.0,85859.0
SA,60,20,10.0,152025.0
GA,60,20,34.0,4873442.0
MIMIC,60,20,34.0,6.1252396E7
RHC,60,30,30.0,152024.0
SA,60,30,8.0,248516.0
GA,60,30,42.0,7854457.0
MIMIC,60,30,11.0,1.3037461E8
RHC,60,40,19.0,167778.0
SA,60,40,9.0,257574.0
GA,60,40,13.0,8405840.0
MIMIC,60,40,56.0,1.64217737E8
RHC,60,50,10.0,145723.0
SA,60,50,10.0,211889.0
GA,60,50,65.0,6921437.0
MIMIC,60,50,29.0,1.77856599E8
RHC,60,60,9.0,127606.0
SA,60,60,12.0,180775.0
GA,60,60,15.0,5983691.0
MIMIC,60,60,23.0,2.71335388E8
RHC,60,70,18.0,223704.0
SA,60,70,4.0,316652.0
GA,60,70,20.0,1.0569232E7
MIMIC,60,70,12.0,3.78704312E8
RHC,60,80,11.0,161083.0
SA,60,80,3.0,198892.0
GA,60,80,14.0,7007296.0
MIMIC,60,80,22.0,3.16440914E8
RHC,60,90,4.0,138239.0
SA,60,90,1.0,183925.0
GA,60,90,15.0,6005353.0
MIMIC,60,90,22.0,3.35514055E8
RHC,60,100,5.0,148479.0
SA,60,100,3.0,185501.0
GA,60,100,10.0,6290497.0
MIMIC,60,100,33.0,4.20596849E8
RHC,10,10,10.0,13785.0
SA,10,10,2.0,20086.0
GA,10,10,17.0,582103.0
MIMIC,10,10,17.0,2940055.0
RHC,10,20,12.0,10634.0
SA,10,20,6.0,18117.0
GA,10,20,32.0,654177.0
MIMIC,10,20,35.0,7011628.0
RHC,10,30,6.0,12997.0
SA,10,30,0.0,21268.0
GA,10,30,45.0,728220.0
MIMIC,10,30,46.0,1.2645979E7
RHC,10,40,6.0,16148.0
SA,10,40,2.0,22055.0
GA,10,40,9.0,795961.0
MIMIC,10,40,53.0,2.0307058E7
RHC,10,50,9.0,19298.0
SA,10,50,2.0,25600.0
GA,10,50,12.0,899543.0
MIMIC,10,50,13.0,2.8916121E7
RHC,10,60,4.0,21267.0
SA,10,60,9.0,28751.0
GA,10,60,9.0,983432.0
MIMIC,10,60,14.0,4.1129659E7
RHC,10,70,5.0,25206.0
SA,10,70,3.0,30326.0
GA,10,70,16.0,1063382.0
MIMIC,10,70,16.0,5.5902796E7
RHC,10,80,3.0,25600.0
SA,10,80,0.0,35446.0
GA,10,80,10.0,1196108.0
MIMIC,10,80,16.0,6.7341245E7
RHC,10,90,4.0,30720.0
SA,10,90,0.0,36233.0
GA,10,90,14.0,1303628.0
MIMIC,10,90,12.0,8.722098E7
RHC,10,100,3.0,32295.0
SA,10,100,2.0,36628.0
GA,10,100,8.0,1367825.0
MIMIC,10,100,18.0,1.00556188E8
RHC,20,10,10.0,21267.0
SA,20,10,1.0,37415.0
GA,20,10,17.0,1084256.0
MIMIC,20,10,17.0,5586302.0
RHC,20,20,9.0,18905.0
SA,20,20,3.0,37415.0
GA,20,20,34.0,1176810.0
MIMIC,20,20,35.0,1.5459216E7
RHC,20,30,6.0,25206.0
SA,20,30,2.0,41354.0
GA,20,30,47.0,1325683.0
MIMIC,20,30,44.0,2.2025011E7
RHC,20,40,12.0,32689.0
