Algorithm,Iteration,Nodes,TrainTest,Evaluation,Time
RHC,60,60,train,71.209,1.001
RHC,60,60,test,76.316,0.003
SA,60,60,train,25.495,0.774
SA,60,60,test,34.211,0.001
GA,60,60,train,98.242,29.342
GA,60,60,test,97.368,0.001
RHC,10,10,train,29.231,0.018
RHC,10,10,test,30.702,0.000
SA,10,10,train,24.396,0.023
SA,10,10,test,23.684,0.001
GA,10,10,train,90.989,1.471
GA,10,10,test,85.088,0.001
RHC,10,20,train,20.220,0.040
RHC,10,20,test,28.947,0.001
SA,10,20,train,47.033,0.037
SA,10,20,test,50.877,0.001
GA,10,20,train,93.407,2.536
GA,10,20,test,92.105,0.001
RHC,10,30,train,52.967,0.050
RHC,10,30,test,50.877,0.001
SA,10,30,train,54.945,0.075
SA,10,30,test,57.018,0.002
GA,10,30,train,93.407,3.330
GA,10,30,test,90.351,0.001
RHC,10,40,train,41.319,0.096
RHC,10,40,test,33.333,0.002
SA,10,40,train,16.484,0.139
SA,10,40,test,21.930,0.002
GA,10,40,train,95.604,4.108
GA,10,40,test,94.737,0.002
RHC,10,50,train,56.484,0.078
RHC,10,50,test,60.526,0.001
SA,10,50,train,87.033,0.077
SA,10,50,test,86.842,0.001
GA,10,50,train,95.165,5.265
GA,10,50,test,92.105,0.001
RHC,10,60,train,70.110,0.114
RHC,10,60,test,71.053,0.002
SA,10,60,train,52.527,0.100
SA,10,60,test,52.632,0.001
GA,10,60,train,96.044,4.460
GA,10,60,test,96.491,0.001
RHC,20,10,train,39.121,0.040
RHC,20,10,test,35.088,0.000
SA,20,10,train,35.165,0.036
SA,20,10,test,39.474,0.000
GA,20,10,train,97.363,1.468
GA,20,10,test,92.982,0.000
RHC,20,20,train,67.253,0.065
RHC,20,20,test,64.912,0.002
SA,20,20,train,47.473,0.160
SA,20,20,test,45.614,0.001
GA,20,20,train,94.725,4.839
GA,20,20,test,92.105,0.001
RHC,20,30,train,27.033,0.154
RHC,20,30,test,27.193,0.001
SA,20,30,train,37.143,0.174
SA,20,30,test,35.088,0.002
GA,20,30,train,94.066,6.466
GA,20,30,test,95.614,0.001
RHC,20,40,train,68.352,0.218
RHC,20,40,test,64.912,0.002
SA,20,40,train,50.110,0.222
SA,20,40,test,55.263,0.002
GA,20,40,train,96.703,8.471
GA,20,40,test,98.246,0.001
RHC,20,50,train,63.736,0.280
RHC,20,50,test,56.140,0.002
SA,20,50,train,86.813,0.246
SA,20,50,test,87.719,0.002
GA,20,50,train,94.505,9.182
GA,20,50,test,91.228,0.002
RHC,20,60,train,31.648,0.185
RHC,20,60,test,35.088,0.001
SA,20,60,train,22.857,0.320
SA,20,60,test,16.667,0.003
GA,20,60,train,96.044,9.574
GA,20,60,test,93.860,0.001
RHC,30,10,train,83.736,0.054
RHC,30,10,test,89.474,0.000
SA,30,10,train,73.846,0.063
SA,30,10,test,77.193,0.000
GA,30,10,train,96.484,3.449
GA,30,10,test,94.737,0.001
RHC,30,20,train,82.857,0.113
RHC,30,20,test,84.211,0.001
SA,30,20,train,53.187,0.115
SA,30,20,test,55.263,0.001
GA,30,20,train,94.945,5.596
GA,30,20,test,92.982,0.001
RHC,30,30,train,25.495,0.127
RHC,30,30,test,21.930,0.001
SA,30,30,train,55.385,0.125
SA,30,30,test,58.772,0.001
GA,30,30,train,97.143,6.613
GA,30,30,test,98.246,0.001
RHC,30,40,train,71.648,0.162
RHC,30,40,test,74.561,0.001
SA,30,40,train,59.341,0.358
SA,30,40,test,60.526,0.002
GA,30,40,train,96.264,10.645
GA,30,40,test,96.491,0.001
