Algorithm,Iteration,NumberOfPoints,Evaluation,TrainingTime
SA,60,10,0.20963027896555428,200467.0
GA,60,10,0.3058919369893027,1.1026093E7
MIMIC,60,10,0.23574518363378671,3.1459182E7
RHC,60,20,0.2521270723419512,215827.0
SA,60,20,0.13020135436047786,262300.0
GA,60,20,0.23580522587668226,1.8498914E7
MIMIC,60,20,0.2440462005068991,1.51756077E8
RHC,60,30,0.13671701537197944,553747.0
SA,60,30,0.06350925903073368,621094.0
GA,60,30,0.2145740033144503,4.8546553E7
MIMIC,60,30,0.12096671287873029,5.50190069E8
RHC,60,40,0.09982501638319488,461586.0
SA,60,40,0.049084954408637985,502940.0
GA,60,40,0.18390012622064747,4.4104372E7
MIMIC,60,40,0.09665782524112787,1.190420265E9
RHC,60,50,0.08760686830708588,720737.0
SA,60,50,0.039186667454668964,785328.0
GA,60,50,0.1591776711806455,7.0944141E7
MIMIC,60,50,0.07517063786199119,1.513496291E9
RHC,60,60,0.07162481609432633,460405.0
SA,60,60,0.031800515083886566,496245.0
GA,60,60,0.11980254813562011,4.8420129E7
MIMIC,60,60,0.06428368137515729,3.53734323E9
RHC,10,10,0.2941566792501607,25994.0
SA,10,10,0.16977768537990434,29538.0
GA,10,10,0.33270052134586797,1705350.0
MIMIC,10,10,0.27285255261090857,5253502.0
RHC,10,20,0.16766092528584156,33083.0
SA,10,20,0.09945225728314346,37809.0
GA,10,20,0.2312154996833926,2936116.0
MIMIC,10,20,0.1994821291483447,2.0190479E7
RHC,10,30,0.11503544347307877,46080.0
SA,10,30,0.07215180141891583,50018.0
GA,10,30,0.15075392473737567,4429972.0
MIMIC,10,30,0.11818508530579404,5.5115893E7
RHC,10,40,0.06881749325163596,57895.0
SA,10,40,0.03799583124068655,89403.0
GA,10,40,0.10261734281433457,5869083.0
MIMIC,10,40,0.061643656431532405,1.29420323E8
RHC,10,50,0.06060246785823002,71680.0
SA,10,50,0.03285531876718978,76406.0
GA,10,50,0.08429906761706733,7568525.0
MIMIC,10,50,0.0477043117380745,2.66389872E8
RHC,10,60,0.044162469123179275,83889.0
SA,10,60,0.03411987872356428,88615.0
GA,10,60,0.06956794711994108,9266786.0
MIMIC,10,60,0.04403036481786204,4.96340389E8
RHC,20,10,0.38058585353476754,44110.0
SA,20,10,0.20079931993673736,55532.0
GA,20,10,0.3805858535347677,3023944.0
MIMIC,20,10,0.25293924259092593,9460164.0
RHC,20,20,0.18035746624309687,63015.0
SA,20,20,0.09663445454627435,73649.0
GA,20,20,0.23380420138756863,5556369.0
MIMIC,20,20,0.19664283220716783,3.6096315E7
RHC,20,30,0.10084629605817783,88221.0
SA,20,30,0.07024334927808279,98461.0
GA,20,30,0.15991379988315,8298715.0
MIMIC,20,30,0.08238346666122252,1.04409177E8
RHC,20,40,0.0831132413560011,112246.0
SA,20,40,0.04872371629225843,119335.0
GA,20,40,0.12746752572886014,1.1316751E7
MIMIC,20,40,0.06917482274671352,2.44067902E8
RHC,20,50,0.06458270309705688,137452.0
SA,20,50,0.03778178393992829,145723.0
GA,20,50,0.11035675495290936,1.4624264E7
MIMIC,20,50,0.05482108077104864,4.93926118E8
RHC,20,60,0.0452929963893909,160295.0
SA,20,60,0.028528986735616824,169747.0
GA,20,60,0.09271017402632985,1.7680897E7
MIMIC,20,60,0.04108023950930263,1.074031101E9
RHC,30,10,0.32141286541386827,111458.0
SA,30,10,0.17446485708538453,137846.0
GA,30,10,0.31969216720704274,7952131.0
MIMIC,30,10,0.24223557919745245,2.4369178E7
RHC,30,20,0.20030288972382906,162658.0
SA,30,20,0.08012870792571974,190621.0
GA,30,20,0.24823066605547733,1.3883441E7
