Iteration,RHC,SA,GA
767,6.314,48.268,2.357
768,6.157,49.820,2.406
769,6.122,47.465,2.376
770,6.132,48.139,2.384
771,6.676,47.284,2.390
772,6.119,45.708,2.376
773,6.142,45.796,2.432
774,6.128,46.920,2.391
775,6.121,45.888,2.402
776,6.139,45.683,2.394
777,6.119,45.512,2.394
778,6.109,45.583,2.501
779,6.103,46.221,2.414
780,6.072,45.533,2.414
781,6.105,45.655,2.374
782,6.091,45.792,2.456
783,6.064,45.511,2.381
784,6.052,45.916,2.385
785,6.037,45.403,2.407
786,6.056,45.209,2.402
787,6.049,45.393,2.452
788,6.054,45.141,2.394
789,6.046,45.711,2.429
790,6.042,45.669,2.454
791,6.055,44.733,2.434
792,6.046,44.903,2.454
793,5.941,44.733,2.342
794,5.941,44.788,2.500
795,5.955,44.738,2.402
796,5.941,47.030,2.417
797,5.938,44.683,2.460
798,5.935,44.654,2.406
799,5.934,44.626,2.398
800,5.933,44.587,2.416
801,5.931,44.715,2.398
802,5.942,46.615,2.442
803,6.045,44.563,2.405
804,5.961,44.481,2.450
805,5.946,44.531,2.381
806,5.941,44.716,2.411
807,5.929,44.279,2.431
808,5.981,44.893,2.426
809,5.931,44.485,2.463
810,5.930,44.470,2.369
811,5.934,44.230,2.357
812,5.928,44.485,2.425
813,6.002,44.410,2.394
814,5.957,44.447,2.409
815,5.896,45.885,2.374
816,5.874,43.556,2.373
817,5.887,42.985,2.399
818,5.877,43.355,2.400
819,5.876,43.075,2.392
820,5.869,42.625,2.356
821,5.894,42.851,2.407
822,5.873,43.895,2.343
823,5.963,42.378,2.365
824,5.867,46.285,2.436
825,5.875,42.486,2.485
826,5.869,42.475,2.435
827,5.876,49.395,2.439
828,5.865,43.385,2.383
829,5.860,42.426,2.353
830,5.977,42.419,2.384
831,5.867,42.472,2.385
832,5.855,41.353,2.386
833,5.920,42.168,2.371
834,5.875,42.340,2.446
835,5.846,40.302,2.379
836,5.841,41.148,2.415
837,5.840,40.070,2.417
838,5.813,39.885,2.414
839,5.838,40.040,2.402
840,5.824,39.877,2.459
841,5.814,38.696,2.382
842,5.813,40.932,2.408
843,5.813,38.941,2.384
844,5.785,38.662,2.381
845,5.798,38.678,2.402
846,5.786,39.110,2.339
847,5.700,38.324,2.375
848,5.710,38.386,2.374
849,5.672,38.138,2.362
850,5.711,38.114,2.420
851,5.702,38.137,2.437
852,5.740,38.277,2.402
853,5.676,38.127,2.369
854,5.676,38.230,2.456
855,5.656,38.114,2.424
856,5.648,38.109,2.390
857,5.652,38.040,2.428
858,5.709,39.198,2.393
859,5.630,40.292,2.374
860,5.607,38.088,2.463
861,5.597,38.278,2.430
862,5.561,37.967,2.369
863,5.547,38.102,2.336
864,5.543,38.046,2.392
865,5.585,37.937,2.393
866,5.565,37.620,2.401
867,5.544,37.579,2.390
868,5.529,37.775,2.448
869,5.544,37.336,2.388
870,5.540,36.753,2.369
871,5.519,36.819,2.442
872,5.530,36.867,2.406
873,5.519,36.838,2.505
874,5.526,36.895,2.413
875,5.573,36.788,2.359
876,5.505,35.880,2.384
877,5.482,36.164,2.389
878,5.486,35.050,2.366
879,5.499,38.695,2.341
880,5.555,35.086,2.433
881,5.481,35.033,2.490
882,5.511,34.631,2.385
883,5.480,34.716,2.366
884,5.475,34.389,2.374
885,5.494,34.388,2.370
886,5.491,34.298,2.372
887,5.475,34.363,2.378
888,5.540,34.732,2.378
889,5.496,34.309,2.384
890,5.509,34.225,2.361
891,5.480,34.322,2.390
892,5.505,30.683,2.353
893,5.483,30.596,2.393
894,5.495,30.733,2.370
895,5.561,30.250,2.387
896,5.461,30.432,2.372
897,5.608,30.421,2.380
898,5.452,30.202,2.384
899,5.458,29.641,2.381
900,5.445,29.595,2.384
901,5.444,29.557,2.475
902,5.433,29.441,2.398
903,5.433,29.516,2.448
904,5.435,29.576,2.382
905,5.434,29.179,2.346
906,5.430,29.198,2.381
907,5.428,29.214,2.367
908,5.364,29.602,2.373
909,5.349,29.198,2.344
910,5.345,29.349,2.385
911,5.277,30.315,2.341
912,5.278,29.202,2.389
913,5.279,28.452,2.374
914,5.374,28.003,2.377
915,5.279,28.091,2.376
916,5.280,27.932,2.388
917,5.277,27.521,2.359
918,5.278,27.518,2.388
919,5.282,27.528,2.387
920,5.568,27.569,2.407
921,5.292,29.378,2.384
922,5.279,27.439,2.394
923,5.298,27.381,2.375
924,5.277,27.605,2.373
925,5.287,27.421,2.383
926,5.276,26.844,2.395
927,5.293,26.264,2.372
928,5.262,26.797,2.383
929,5.255,26.049,2.373
930,5.245,27.175,2.370
931,5.252,26.854,2.347
932,5.255,26.049,2.356
933,5.245,26.073,2.362
934,5.231,26.037,2.372
935,5.185,25.982,2.345
936,5.185,26.012,2.375
937,5.196,26.342,2.360
938,5.290,26.017,2.323
939,5.182,26.111,2.424
940,5.191,25.924,2.364
941,5.185,26.432,2.347
942,5.180,26.392,2.368
943,5.176,25.858,2.356
944,5.175,25.827,2.345
945,5.184,29.701,2.352
946,5.271,25.802,2.368
947,5.212,25.770,2.369
948,5.218,25.431,2.349
949,5.181,26.579,2.386
950,5.160,25.394,2.406
951,5.148,25.394,2.355
952,5.115,25.431,2.410
953,5.118,25.393,2.357
954,5.093,25.691,2.412
955,5.108,25.390,2.367
956,5.084,25.413,2.386
957,5.164,25.422,2.356
958,5.090,25.352,2.359
959,5.084,25.374,2.331
960,5.119,25.329,2.334
961,5.084,24.774,2.355
962,5.084,24.769,2.364
963,5.086,24.759,2.360
964,5.319,24.563,2.295
965,5.085,25.090,2.348
966,5.087,24.372,2.390
967,5.100,24.249,2.388
968,5.071,24.219,2.334
969,5.067,24.446,2.379
970,5.074,23.959,2.347
971,5.044,23.914,2.401
972,5.111,22.768,2.331
973,5.047,22.586,2.363
974,5.090,22.619,2.378
975,5.036,22.568,2.414
976,5.044,22.573,2.357
977,5.044,22.603,2.361
978,5.017,22.561,2.330
979,5.034,22.330,2.392
980,5.015,22.286,2.342
981,5.013,22.335,2.392
982,5.014,22.262,2.350
983,4.988,22.126,2.339
984,4.988,22.054,2.402
985,4.979,21.974,2.382
986,4.962,21.946,2.389
987,4.948,22.389,2.340
988,4.947,21.812,2.347
989,4.941,21.576,2.352
990,4.940,21.468,2.324
991,4.941,21.528,2.347
992,4.940,21.460,2.344
993,4.944,21.309,2.375
994,4.941,22.800,2.332
